"Item Name",Company,Quantity,"Cargo Size (cm x cm)","Weight (g)",SKU,"Location (WH-Aisle-Bin)",Lead Time (Days),"Reorder Point (Units)","Unit Cost ($)",Suppliers,"Lot/Batch Number",Storage Conditions
"Roku Express HD Streaming Media Player",Roku,500,"20 x 15",300,RK-EXP-HD-001,"WH001-A15-B03",7,100,19.99,"ELE-001,ELE-003",RXP202505ABC,Standard
"Apple AirPods (2nd Gen) with Charging Case",Apple,200,"10 x 10",200,AP-AIRP-GEN2-001,"WH001-A22-B10",14,50,79.00,"ELE-002,ELE-003",AP2506XYZ01,Standard
"Onn. 24"" 720p HD LED TV",Onn.,100,"60 x 40",3000,ONN-TV24HD-001,"WH002-C05-R02",10,20,55.00,"ELE-001,ELE-002",ONTV2505D01,Fragile
"HP 15.6"" Laptop (Intel Core i3, 8GB RAM, 256GB SSD)",HP,50,"45 x 30",2500,HP-LAP-I3-001,"WH002-C01-R01",21,15,250.00,"ELE-001,ELE-003",HPL2506QW02,Fragile
"Xbox Series S Console",Microsoft,30,"35 x 30",3500,XB-SER-S-CON-001,"WH002-B08-R05",18,10,225.00,"ELE-002,ELE-001",XBS2506FG03,Fragile
"Sony WH-CH520 Wireless On-Ear Headphones",Sony,150,"20 x 20",400,SN-HP-WH520-001,"WH001-A18-B07",8,30,35.00,"ELE-003,ELE-002",SNY2505LM04,Standard
"Energizer Max AA Batteries (8-pack)",Energizer,1000,"10 x 5",200,EN-BAT-AA8-001,"WH001-A05-B01",5,200,5.50,"ELE-003,ELE-001",ENBAT2506NP05,Standard
"Google Nest Mini (2nd Gen) Smart Speaker",Google,200,"15 x 15",300,GG-NEST-MINI-001,"WH001-A16-B04",10,40,22.00,"ELE-001,ELE-002",GGM2505RS06,Standard
"SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive",SanDisk,800,"8 x 3",15,SD-USB-64G-001,"WH001-A08-B02",7,150,8.00,"ELE-003,ELE-002",SDG2506TV07,Standard
"Belkin BoostCharge 10W Wireless Charger Pad",Belkin,100,"12 x 12",150,BLKN-WC-10W-001,"WH001-A09-B05",9,25,12.00,"ELE-001,ELE-003",BLC2505WX08,Standard
"Samsung Galaxy Tab A8 10.5"" Tablet (32GB)",Samsung,80,"30 x 20",800,SAM-TAB-A8-001,"WH002-C03-R03",15,20,130.00,"ELE-002,ELE-003",SGT2506YU09,Fragile
"JBL Flip 6 Portable Bluetooth Speaker",JBL,120,"25 x 10",600,JBL-FLIP6-SPK-001,"WH001-A17-B06",8,25,85.00,"ELE-001,ELE-002",JBF2505IO10,Standard
"Nintendo Switch OLED Model Console",Nintendo,40,"40 x 30",4000,NIN-SWOLED-001,"WH002-B07-R04",20,10,280.00,"ELE-003,ELE-001",NSW2506PA11,Fragile
"TP-Link Archer AX1500 Wi-Fi 6 Router",TP-Link,70,"30 x 25",700,TPL-RTR-AX15-001,"WH001-A10-B08",10,15,55.00,"ELE-001,ELE-003",TPL2505SD12,Standard
"Canon Pixma MG2522 All-in-One Printer",Canon,60,"45 x 35",4500,CAN-PRT-MG25-001,"WH002-D01-R01",15,15,59.00,"ELE-002,ELE-003",CPM2506FG13,Standard
"Duracell CopperTop AA Batteries (20-pack)",Duracell,800,"15 x 7",450,DRCL-BAT-AA20-001,"WH001-A05-B02",5,150,12.00,"ELE-001,ELE-002",DRC2506JK14,Standard
"Amazon Echo Dot (5th Gen) Smart Speaker",Amazon,180,"12 x 12",250,AMZN-ECDOT5-001,"WH001-A16-B05",9,40,25.00,"ELE-002,ELE-003",AMZ2505ZX15,Standard
"Logitech M310 Wireless Mouse",Logitech,700,"20 x 15",100,LOG-MOU-M310-001,"WH001-A08-B03",6,140,12.00,"ELE-001,ELE-002",LOG2506CV16,Standard
"HP 27fw Full HD IPS Monitor",HP,40,"70 x 45",5000,HP-MON-27FW-001,"WH002-C04-R03",18,10,160.00,"ELE-003,ELE-001",HPM2506BN17,Fragile
"Google Chromecast with Google TV (4K)",Google,250,"18 x 12",250,GG-CHRM-4K-001,"WH001-A15-B04",8,50,35.00,"ELE-002,ELE-003",GGC2505RT18,Standard
"Roku Streaming Stick 4K",Roku,400,"18 x 10",200,RK-STK-4K-001,"WH001-A15-B05",7,80,25.00,"ELE-001,ELE-002",RKS2505YU19,Standard
"Acer Chromebook 315 (Intel Celeron, 4GB RAM)",Acer,70,"40 x 28",2000,ACR-CB315-001,"WH002-C02-R02",20,15,180.00,"ELE-003,ELE-001",ACB2506AS20,Fragile
"WD Elements 1TB Portable External Hard Drive",Western Digital,150,"15 x 10",250,WD-HDD-1TB-001,"WH001-A07-B09",10,30,45.00,"ELE-002,ELE-003",WDE2505DF21,Standard
"Apple EarPods with Lightning Connector",Apple,300,"8 x 5",50,AP-EPD-LGT-001,"WH001-A22-B11",14,60,15.00,"ELE-001,ELE-002",APE2506GH22,Standard
"onn. 50"" 4K UHD Smart TV",Onn.,80,"120 x 75",10000,ONN-TV504K-001,"WH002-C06-R01",12,15,220.00,"ELE-003,ELE-001",ONT504K2505E23,Fragile
"Sony PlayStation 5 DualSense Wireless Controller",Sony,90,"20 x 18",350,SN-PS5-CTL-001,"WH002-B09-R06",18,20,50.00,"ELE-002,ELE-003",SP52506JKL24,Standard
"Xbox Series X Wireless Controller",Microsoft,90,"20 x 18",350,XB-SER-X-CTL-001,"WH002-B09-R07",18,20,50.00,"ELE-001,ELE-002",XBS2506VBN25,Standard
"Razer Kishi V2 Mobile Gaming Controller",Razer,60,"25 x 15",300,RZR-KISHI-V2-001,"WH002-B10-R08",15,15,80.00,"ELE-003,ELE-001",RKV2505NM26,Standard
"Blink Mini Indoor Plug-in Smart Security Camera",Blink,200,"10 x 10",150,BLK-MINI-CAM-001,"WH001-A16-B06",9,40,25.00,"ELE-002,ELE-003",BLM2505PO27,Standard
"Ring Video Doorbell Wired",Ring,100,"15 x 10",300,RNG-DOOR-WIRE-001,"WH001-A16-B07",10,25,45.00,"ELE-001,ELE-002",RNG2505IU28,Standard
"TP-Link Kasa Smart Plug Mini (2-pack)",TP-Link,300,"12 x 8",100,TPL-SPLG-MINI-001,"WH001-A10-B09",7,60,18.00,"ELE-003,ELE-001",TPL2505RE29,Standard
"GE Cync Smart Light Bulb (Color, A19)",GE,250,"12 x 7",80,GE-CYNC-BLB-001,"WH001-A16-B08",8,50,15.00,"ELE-002,ELE-003",GEC2505QW30,Standard
"Energizer Max AAA Batteries (8-pack)",Energizer,900,"10 x 5",150,EN-BAT-AAA8-001,"WH001-A05-B03",5,180,5.50,"ELE-001,ELE-002",ENBAT2506FG31,Standard
"SanDisk Ultra 128GB microSDXC Card",SanDisk,600,"8 x 3",10,SD-MCSD-128G-001,"WH001-A07-B10",7,120,15.00,"ELE-003,ELE-001",SDM2506JK32,Standard
"Anker PowerCore III Sense 10K Portable Charger",Anker,180,"20 x 10",350,ANK-PC10K-001,"WH001-A09-B06",9,35,28.00,"ELE-002,ELE-003",ANK2505LM33,Standard
"Philips Sonicare ProtectiveClean 4100 Electric Toothbrush",Philips,80,"25 x 15",400,PHI-SNC-4100-001,"WH001-A06-B01",12,20,59.00,"ELE-001,ELE-002",PHS2506NP34,Standard
"Samsung Galaxy Watch 4 (40mm)",Samsung,50,"10 x 10",250,SAM-GW4-40MM-001,"WH001-A23-B01",16,10,140.00,"ELE-003,ELE-001",SGW2506QR35,Standard
"Fitbit Inspire 3 Fitness Tracker",Fitbit,100,"15 x 8",100,FIT-INSP3-001,"WH001-A23-B02",10,25,75.00,"ELE-002,ELE-003",FIT2505ST36,Standard
"Netgear Nighthawk R6700 Wi-Fi Router",Netgear,50,"35 x 25",800,NTG-RTR-R6700-001,"WH001-A10-B10",12,10,80.00,"ELE-001,ELE-002",NTG2505UV37,Standard
"HP DeskJet 2755e All-in-One Printer",HP,55,"45 x 35",4000,HP-PRT-2755E-001,"WH002-D02-R02",16,12,79.00,"ELE-003,ELE-001",HPD2506WX38,Standard
"Canon EOS Rebel T7 DSLR Camera Kit",Canon,20,"25 x 20",1500,CAN-CAM-T7-001,"WH002-C08-R01",25,5,350.00,"ELE-002,ELE-003",CET2506ZA39,Fragile
"GoPro HERO11 Black Camera",GoPro,30,"20 x 15",500,GOPRO-HERO11-001,"WH002-C08-R02",18,8,290.00,"ELE-001,ELE-002",GPH2506BC40,Standard
"Acer Nitro 5 15.6"" Gaming Laptop",Acer,25,"50 x 35",3000,ACR-GAM-NITRO5-001,"WH002-C02-R03",22,5,650.00,"ELE-003,ELE-001",ACN2506DE41,Fragile
"CyberPowerPC Gamer Master Gaming Desktop",CyberPowerPC,15,"60 x 50",10000,CYP-GM-DTP-001,"WH002-C09-R01",28,3,750.00,"ELE-002,ELE-003",CPG2506FG42,Fragile
"Dell Inspiron 24 All-in-One PC",Dell,20,"70 x 50",8000,DEL-AIO-INSP24-001,"WH002-C09-R02",24,5,400.00,"ELE-001,ELE-002",DLI2506HI43,Fragile
"Epson EcoTank ET-2800 Wireless Color Printer",Epson,45,"50 x 40",5000,EPS-ET-2800-001,"WH002-D03-R03",17,10,180.00,"ELE-003,ELE-001",EET2506JK44,Standard
"JBL Tune 710BT Wireless Over-Ear Headphones",JBL,130,"22 x 20",350,JBL-HP-710BT-001,"WH001-A18-B08",8,25,45.00,"ELE-002,ELE-003",JBT2505LM45,Standard
"Bose QuietComfort Earbuds II",Bose,70,"12 x 10",200,BOS-ECB-QC2-001,"WH001-A18-B09",10,15,180.00,"ELE-001,ELE-002",BQE2505NP46,Standard
"Logitech C920s HD Pro Webcam",Logitech,100,"15 x 10",150,LOG-WBC-C920S-001,"WH001-A08-B04",6,20,40.00,"ELE-003,ELE-001",LWC2506QR47,Standard
"Acer SB220Q Bi 21.5"" IPS Monitor",Acer,60,"55 x 35",2800,ACR-MON-SB220Q-001,"WH002-C04-R04",18,12,85.00,"ELE-002,ELE-003",ACM2506ST48,Fragile
"onn. 3.1 Channel Soundbar with Wireless Subwoofer",Onn.,50,"100 x 40",7000,ONN-SB-31-001,"WH002-C06-R02",15,10,95.00,"ELE-001,ELE-002",ONS2505UV49,Standard
"Turtle Beach Recon 70 Gaming Headset",Turtle Beach,180,"20 x 18",300,TTB-HDS-REC70-001,"WH002-B10-R09",10,35,25.00,"ELE-003,ELE-001",TBR2505WX50,Standard
"RCA 32"" Class 720P HD LED TV",RCA,90,"75 x 50",4000,RCA-TV32HD-001,"WH002-C05-R03",11,20,89.00,"ELE-002,ELE-003",RCT2505YZ51,Fragile
"Victrola Journey+ Bluetooth Record Player",Victrola,40,"35 x 30",2000,VTRL-RP-JNYP-001,"WH001-A20-B01",15,10,49.00,"ELE-001,ELE-002",VTR2506AB52,Standard
"Fujifilm Instax Mini 12 Instant Camera",Fujifilm,100,"15 x 12",300,FUJI-INSTAX12-001,"WH001-A19-B01",14,20,55.00,"ELE-003,ELE-001",FIM2506CD53,Standard
"Ring Stick Up Cam Battery",Ring,80,"15 x 10",400,RNG-SUC-BAT-001,"WH001-A16-B09",10,15,75.00,"ELE-002,ELE-003",RNS2505EF54,Standard
"Google Nest Hub (2nd Gen) Smart Display",Google,150,"20 x 15",600,GG-NEST-HUB2-001,"WH001-A16-B10",11,30,60.00,"ELE-001,ELE-002",GNH2505GH55,Fragile
"TP-Link Deco X20 Mesh Wi-Fi System (2-pack)",TP-Link,40,"30 x 20",1500,TPL-MESH-X20-001,"WH001-A10-B11",12,10,120.00,"ELE-003,ELE-001",TDX2505IJ56,Standard
"Mr. Coffee 5-Cup Programmable Coffee Maker",Mr. Coffee,200,"25 x 20",1200,MRC-CM-5CUP-001,"WH001-A04-B01",9,40,25.00,"ELE-002,ELE-003",MCC2506KL57,Standard
"Ninja Foodi Smart XL 6-in-1 Indoor Grill",Ninja,30,"50 x 40",9000,NIN-GRIL-XL-001,"WH002-D04-R04",18,5,150.00,"ELE-001,ELE-002",NFG2506MN58,Standard
"Apple Watch SE (2nd Gen)",Apple,60,"10 x 10",250,AP-WAT-SE2-001,"WH001-A23-B03",16,12,190.00,"ELE-003,ELE-001",AWS2506OP59,Standard
"Garmin Forerunner 55 Running Watch",Garmin,40,"12 x 10",200,GRM-RUN-FR55-001,"WH001-A23-B04",14,8,130.00,"ELE-002,ELE-003",GRF2506QR60,Standard
"Bose SoundLink Flex Bluetooth Speaker",Bose,90,"25 x 10",600,BOS-SLF-SPK-001,"WH001-A17-B07",10,20,120.00,"ELE-001,ELE-002",BSF2505ST61,Standard
"Skullcandy Sesh Evo True Wireless Earbuds",Skullcandy,200,"10 x 8",100,SKL-TWS-SESH-001,"WH001-A18-B10",7,40,25.00,"ELE-003,ELE-001",SKL2505UV62,Standard
"Amazon Fire HD 8 Tablet (32GB)",Amazon,100,"25 x 18",600,AMZN-TAB-FHD8-001,"WH002-C03-R04",12,25,60.00,"ELE-002,ELE-003",AMF2506WX63,Fragile
"Acer Aspire 3 15.6"" Laptop",Acer,60,"45 x 30",2500,ACR-LAP-ASPIRE3-001,"WH002-C01-R02",20,12,300.00,"ELE-001,ELE-002",ACA2506YZ64,Fragile
"Brother MFC-J4335DW Wireless All-in-One Printer",Brother,40,"50 x 40",7000,BRT-PRT-J4335-001,"WH002-D01-R02",17,8,120.00,"ELE-003,ELE-001",BRM2506AB65,Standard
"WD My Passport 2TB Portable Hard Drive",Western Digital,100,"15 x 10",300,WD-HDD-2TB-001,"WH001-A07-B11",10,20,65.00,"ELE-002,ELE-003",WDM2505CD66,Standard
"Sony SRS-XB100 Wireless Speaker",Sony,150,"10 x 10",280,SN-SPK-XB100-001,"WH001-A17-B08",8,30,40.00,"ELE-001,ELE-002",SNX2505EF67,Standard
"Samsung T7 Portable SSD 1TB",Samsung,80,"12 x 8",100,SAM-SSD-T7-1TB-001,"WH001-A07-B12",12,15,85.00,"ELE-003,ELE-001",SST2506GH68,Standard
"Xbox Game Pass Ultimate (3 Month Code)",Microsoft,250,"15 x 10",10,XB-GPU-3M-001,"WH001-A21-B01",2,50,25.00,"ELE-002,ELE-003",XBG2506IJ69,Standard
"PlayStation Store Gift Card ($25)",Sony,300,"10 x 5",5,PS-GC-25-001,"WH001-A21-B02",2,60,24.00,"ELE-001,ELE-002",PSG2506KL70,Standard
"Nintendo eShop Gift Card ($20)",Nintendo,300,"10 x 5",5,NIN-ESHOP-GC20-001,"WH001-A21-B03",2,60,19.00,"ELE-003,ELE-001",NGE2506MN71,Standard
"Logitech H390 USB Headset",Logitech,120,"20 x 18",200,LOG-HDS-H390-001,"WH001-A18-B11",7,25,28.00,"ELE-002,ELE-003",LHS2506OP72,Standard
"RCA 2-Device Universal Remote Control",RCA,400,"20 x 8",100,RCA-REM-UNIV-001,"WH001-A09-B07",6,80,8.00,"ELE-001,ELE-002",RCU2505QR73,Standard
"GE LED Smart Bulb (Soft White)",GE,300,"12 x 7",80,GE-SMB-A19-001,"WH001-A16-B11",8,60,10.00,"ELE-003,ELE-001",GES2505ST74,Standard
"TP-Link TL-WR841N Wireless N Router",TP-Link,80,"25 x 20",500,TPL-RTR-841N-001,"WH001-A10-B12",10,15,20.00,"ELE-002,ELE-003",TPL2505UV75,Standard
"Anker Powerline+ II USB-C to Lightning Cable (6ft)",Anker,200,"15 x 8",50,ANK-CAB-USBC-LTG-001,"WH001-A09-B08",9,40,15.00,"ELE-001,ELE-002",ANK2505WX76,Standard
"Philips AA Batteries (12-pack)",Philips,700,"12 x 6",300,PHI-BAT-AA12-001,"WH001-A05-B04",6,140,8.00,"ELE-003,ELE-001",PHB2506YZ77,Standard
"onn. HDMI Cable (6ft)",Onn.,500,"15 x 10",150,ONN-HDMI-6FT-001,"WH001-A09-B09",5,100,5.00,"ELE-002,ELE-003",ONN2505AB78,Standard
"Duracell CopperTop AAA Batteries (12-pack)",Duracell,850,"12 x 6",250,DRCL-BAT-AAA12-001,"WH001-A05-B05",5,170,8.00,"ELE-001,ELE-002",DRC2506CD79,Standard
"SanDisk Extreme Portable SSD 1TB",SanDisk,70,"15 x 10",150,SD-SSD-EXT1TB-001,"WH001-A07-B13",12,15,100.00,"ELE-003,ELE-001",SDE2506EF80,Standard
"TP-Link Kasa Smart Wi-Fi Power Strip",TP-Link,80,"30 x 10",600,TPL-PS-SWIFI-001,"WH001-A10-B13",10,15,40.00,"ELE-002,ELE-003",TPL2505GH81,Standard
"Google Nest Doorbell (Battery)",Google,70,"20 x 15",500,GG-NDB-BAT-001,"WH001-A16-B12",11,15,140.00,"ELE-001,ELE-002",GND2505IJ82,Standard
"Samsung Galaxy A14 5G (Prepaid, T-Mobile)",Samsung,40,"20 x 10",400,SAM-PHA14-5G-TM-001,"WH002-C07-R01",18,8,100.00,"ELE-003,ELE-001",SGA2506KL83,Standard
"TracFone Motorola Moto g Play (2023) Prepaid",Motorola,60,"20 x 10",400,TFN-MOTOGP-23-001,"WH002-C07-R02",15,12,70.00,"ELE-002,ELE-003",TFM2506MN84,Standard
"Straight Talk iPhone SE (3rd Gen) Prepaid",Apple,30,"20 x 10",400,STT-IPSE3-PRE-001,"WH002-C07-R03",20,6,280.00,"ELE-001,ELE-002",STI2506OP85,Standard
"OtterBox Commuter Series Case for iPhone",OtterBox,100,"20 x 12",100,OTR-IPH-CMT-001,"WH001-A09-B10",8,20,30.00,"ELE-003,ELE-001",OTC2505QR86,Standard
"PopSockets PopGrip for Phones",PopSockets,200,"10 x 8",30,POP-GRIP-001,"WH001-A09-B11",7,40,8.00,"ELE-002,ELE-003",PPG2505ST87,Standard
"JBL Tune 230NC TWS Noise Cancelling Earbuds",JBL,100,"12 x 10",150,JBL-TWS-230NC-001,"WH001-A18-B12",9,20,60.00,"ELE-001,ELE-002",JBT2505UV88,Standard
"Bose QuietComfort 45 Headphones",Bose,50,"25 x 20",500,BOS-HP-QC45-001,"WH001-A18-B13",12,10,190.00,"ELE-003,ELE-001",BQC2505WX89,Standard
"Skullcandy Crusher Evo Wireless Headphones",Skullcandy,80,"25 x 20",600,SKL-HP-CRUSHER-001,"WH001-A18-B14",8,15,75.00,"ELE-002,ELE-003",SKC2505YZ90,Standard
"Canon PIXMA TS3522 Wireless All-in-One Printer",Canon,70,"40 x 35",4000,CAN-PRT-TS3522-001,"WH002-D01-R03",16,14,50.00,"ELE-001,ELE-002",CPX2506AB91,Standard
"HP Envy 6055e All-in-One Printer",HP,65,"45 x 35",4500,HP-PRT-6055E-001,"WH002-D02-R03",17,13,95.00,"ELE-003,ELE-001",HPE2506CD92,Standard
"Logitech MK270 Wireless Keyboard and Mouse Combo",Logitech,150,"50 x 20",800,LOG-KBM-MK270-001,"WH001-A08-B05",7,30,25.00,"ELE-002,ELE-003",LKM2506EF93,Standard
"Razer DeathAdder Essential Gaming Mouse",Razer,120,"15 x 10",150,RZR-MOU-DESS-001,"WH002-B10-R10",10,25,20.00,"ELE-001,ELE-002",RDE2505GH94,Standard
"Corsair HS35 Stereo Gaming Headset",Corsair,90,"25 x 20",400,COR-HDS-HS35-001,"WH002-B10-R11",10,18,30.00,"ELE-003,ELE-001",CHS2505IJ95,Standard
"Sony PlayStation VR2 Headset",Sony,15,"40 x 30",4000,SN-PSVR2-001,"WH002-B08-R09",25,3,450.00,"ELE-002,ELE-003",SPV2506KL96,Fragile
"Meta Quest 2 VR Headset (128GB)",Meta,20,"35 x 25",3500,MET-QST2-128G-001,"WH002-B08-R10",22,4,250.00,"ELE-001,ELE-002",MQ22506MN97,Fragile
"Amazon Fire TV Stick 4K Max",Amazon,180,"18 x 10",150,AMZN-FSTK-4KMAX-001,"WH001-A15-B06",8,35,30.00,"ELE-003,ELE-001",AFS2505OP98,Standard
"onn. Universal TV Remote Control",Onn.,300,"20 x 8",100,ONN-REM-UNIV-001,"WH001-A09-B12",6,60,7.00,"ELE-002,ELE-003",ONU2505QR99,Standard
"Sterilite 3-Drawer Cart (White)",Sterilite,50,"60 x 40",2500,STRLT-CART-3DR-001,"WH001-A03-B01",10,10,15.00,"ELE-001,ELE-002",STC2506ST00,Standard