Order Date,Category,Item Name,Supplier,Quantity,Unit Cost,Total Cost
2023-01-02,Food,Great Value Large Eggs (1 Dozen),FOD-003,26,2.53,65.68
2023-01-02,Food,Kraft Macaroni & Cheese (7.25 oz Box),FOD-003,49,1.14,55.66
2023-01-02,Food,Lay's Classic Potato Chips (Large Bag),FOD-002,51,3.39,172.93
2023-01-02,Food,Skippy Creamy Peanut Butter (40 oz),FOD-003,26,4.39,114.19
2023-01-02,Food,Tyson Boneless Skinless Chicken Breasts (2.5 lbs),FOD-003,41,7.86,322.35
2023-01-02,Pharmaceuticals,"Band-Aid Brand Adhesive Bandages (Assorted, 100 ct)",PRM-003,19,4.45,84.63
2023-01-02,Pharmaceuticals,CVS Health Ibuprofen (200 mg - 100 ct),PRM-003,34,3.09,105.06
2023-01-02,Pharmaceuticals,Tylenol Extra Strength Caplets (100 ct),PRM-002,37,5.91,218.53
2023-01-02,Textiles,Men's Regular Fit Jeans,TXT-001,36,14.77,531.57
2023-01-02,Textiles,Women's Skinny Jeans,TXT-003,22,15.19,334.09
2023-01-09,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-003,18,75.37,1356.57
2023-01-09,Electronics,Canon Pixma MG2522 All-in-One Printer,ELC-003,18,56.26,1012.67
2023-01-09,Electronics,"HP 15.6"" Laptop (Intel Core i3, 8GB RAM, 256GB SSD)",ELC-001,16,267.14,4274.28
2023-01-09,Electronics,Sony WH-CH520 Wireless On-Ear Headphones,ELC-003,13,37.25,484.28
2023-01-09,Food,Coca-Cola Soda (12-pack Cans),FOD-003,28,5.24,146.76
2023-01-09,Food,Great Value Large Eggs (1 Dozen),FOD-003,47,2.53,118.94
2023-01-09,Food,Kellogg's Frosted Flakes Cereal (23 oz),FOD-003,47,4.32,203.13
2023-01-09,Food,Skippy Creamy Peanut Butter (40 oz),FOD-003,35,4.25,148.66
2023-01-09,Pharmaceuticals,Advil Tablets (100 ct),PRM-003,24,4.97,119.26
2023-01-09,Pharmaceuticals,CVS Health Ibuprofen (200 mg - 100 ct),PRM-003,39,2.84,110.75
2023-01-09,Pharmaceuticals,Colgate Total Toothpaste (6 oz),PRM-003,36,2.87,103.45
2023-01-09,Pharmaceuticals,Tylenol Extra Strength Caplets (100 ct),PRM-002,17,5.36,91.07
2023-01-16,Electronics,Energizer Max AA Batteries (8-pack),ELC-002,9,5.27,47.46
2023-01-16,Electronics,Google Nest Mini (2nd Gen) Smart Speaker,ELC-003,22,23.15,509.36
2023-01-16,Electronics,JBL Flip 6 Portable Bluetooth Speaker,ELC-003,23,89.26,2053.09
2023-01-16,Electronics,Roku Express HD Streaming Media Player,ELC-001,20,18,360.08
2023-01-16,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-003,26,7.68,199.62
2023-01-16,Food,Bananas (by the pound),FOD-003,31,0.68,21.19
2023-01-16,Food,Kraft Macaroni & Cheese (7.25 oz Box),FOD-003,43,1.21,51.86
2023-01-16,Food,Skippy Creamy Peanut Butter (40 oz),FOD-003,27,4.89,131.93
2023-01-16,Pharmaceuticals,Advil Tablets (100 ct),PRM-003,31,4.75,147.13
2023-01-16,Pharmaceuticals,Tylenol Extra Strength Caplets (100 ct),PRM-001,32,5.13,164.03
2023-01-23,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-003,23,73.71,1695.31
2023-01-23,Electronics,Canon Pixma MG2522 All-in-One Printer,ELC-003,20,63.72,1274.31
2023-01-23,Electronics,Google Nest Mini (2nd Gen) Smart Speaker,ELC-003,9,20.89,188.02
2023-01-23,Electronics,"HP 15.6"" Laptop (Intel Core i3, 8GB RAM, 256GB SSD)",ELC-001,15,244.95,3674.24
2023-01-23,Electronics,JBL Flip 6 Portable Bluetooth Speaker,ELC-003,12,92.29,1107.5
2023-01-23,Food,Bananas (by the pound),FOD-003,42,0.71,29.74
2023-01-23,Food,Fresh Strawberries (1 lb),FOD-001,46,3.08,141.62
2023-01-30,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-003,7,77.46,542.23
2023-01-30,Electronics,Roku Express HD Streaming Media Player,ELC-002,9,18.99,170.87
2023-01-30,Electronics,"Samsung Galaxy Tab A8 10.5"" Tablet (32GB)",ELC-003,20,139.46,2789.2
2023-01-30,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-003,26,8.77,228.14
2023-01-30,Electronics,Sony WH-CH520 Wireless On-Ear Headphones,ELC-003,19,33.98,645.62
2023-01-30,Food,Bananas (by the pound),FOD-003,25,0.77,19.32
2023-01-30,Food,Coca-Cola Soda (12-pack Cans),FOD-003,29,5.4,156.51
2023-01-30,Food,Great Value Large Eggs (1 Dozen),FOD-003,26,2.71,70.54
2023-01-30,Food,Kellogg's Frosted Flakes Cereal (23 oz),FOD-003,49,4.56,223.3
2023-01-30,Food,Kraft Macaroni & Cheese (7.25 oz Box),FOD-003,51,1.36,69.15
2023-01-30,Textiles,Men's Fleece Hoodie,TXT-001,26,12.41,322.54
2023-01-30,Textiles,Women's V-Neck T-Shirt,TXT-003,35,2.96,103.76
2023-02-06,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-003,8,79.59,636.76
2023-02-06,Electronics,Energizer Max AA Batteries (8-pack),ELC-002,18,5.09,91.69
2023-02-06,Electronics,Google Nest Mini (2nd Gen) Smart Speaker,ELC-003,6,21.82,130.9
2023-02-06,Electronics,Sony WH-CH520 Wireless On-Ear Headphones,ELC-003,20,33.71,674.26
2023-02-06,Food,Coca-Cola Soda (12-pack Cans),FOD-003,45,5.85,263.2
2023-02-06,Food,Skippy Creamy Peanut Butter (40 oz),FOD-003,33,4.19,138.34
2023-02-06,Food,Tyson Boneless Skinless Chicken Breasts (2.5 lbs),FOD-003,43,9.32,400.87
2023-02-06,Pharmaceuticals,Allegra 24 Hour Allergy (60 ct),PRM-003,15,19.59,293.85
2023-02-06,Pharmaceuticals,"Band-Aid Brand Adhesive Bandages (Assorted, 100 ct)",PRM-003,39,4.22,164.47
2023-02-06,Pharmaceuticals,Colgate Total Toothpaste (6 oz),PRM-003,33,3.22,106.16
2023-02-06,Pharmaceuticals,Flonase Allergy Relief (120 sprays),PRM-003,25,15.47,386.8
2023-02-06,Pharmaceuticals,Tylenol Extra Strength Caplets (100 ct),PRM-001,30,5.6,168.12
2023-02-06,Textiles,Kids' Graphic Tee,TXT-003,31,2.91,90.21
2023-02-06,Textiles,Men's Athletic Shorts,TXT-003,19,8.13,154.41
2023-02-06,Textiles,Men's Basic Crewneck T-Shirt,TXT-002,43,3.7,159.08
2023-02-06,Textiles,Men's Regular Fit Jeans,TXT-001,41,14.44,592.07
2023-02-06,Textiles,Twin Size Sheet Set,TXT-002,22,9.38,206.36
2023-02-13,Food,Kraft Macaroni & Cheese (7.25 oz Box),FOD-003,37,1.16,42.8
2023-02-13,Food,Tyson Boneless Skinless Chicken Breasts (2.5 lbs),FOD-003,50,8.28,413.88
2023-02-13,Pharmaceuticals,Allegra 24 Hour Allergy (60 ct),PRM-003,35,17.79,622.67
2023-02-13,Pharmaceuticals,CVS Health Ibuprofen (200 mg - 100 ct),PRM-003,14,3.08,43.13
2023-02-13,Pharmaceuticals,Flonase Allergy Relief (120 sprays),PRM-003,13,13.51,175.64
2023-02-13,Pharmaceuticals,Neosporin Original Ointment (1 oz),PRM-003,32,6.58,210.42
2023-02-13,Textiles,Kids' Graphic Tee,TXT-003,21,2.94,61.65
2023-02-13,Textiles,Women's Skinny Jeans,TXT-003,26,13.87,360.54
2023-02-20,Electronics,"HP 15.6"" Laptop (Intel Core i3, 8GB RAM, 256GB SSD)",ELC-001,16,264.12,4225.91
2023-02-20,Electronics,Roku Express HD Streaming Media Player,ELC-001,18,21.48,386.6
2023-02-20,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-003,13,7.63,99.15
2023-02-20,Textiles,Men's Fleece Hoodie,TXT-001,39,11.05,430.82
2023-02-20,Textiles,Men's Regular Fit Jeans,TXT-002,37,15.75,582.69
2023-02-27,Electronics,Canon Pixma MG2522 All-in-One Printer,ELC-003,14,53.62,750.73
2023-02-27,Electronics,Energizer Max AA Batteries (8-pack),ELC-001,17,5.42,92.22
2023-02-27,Electronics,Google Nest Mini (2nd Gen) Smart Speaker,ELC-003,18,23.76,427.64
2023-02-27,Electronics,"Samsung Galaxy Tab A8 10.5"" Tablet (32GB)",ELC-003,25,125.16,3129.05
2023-02-27,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-003,6,8.03,48.19
2023-02-27,Textiles,Men's Basic Crewneck T-Shirt,TXT-002,23,3.56,81.8
2023-02-27,Textiles,Men's Fleece Hoodie,TXT-001,30,11.59,347.63
2023-02-27,Textiles,Men's Regular Fit Jeans,TXT-002,39,16.44,641.29
2023-02-27,Textiles,Women's Skinny Jeans,TXT-003,42,13.86,582.1
2023-02-27,Textiles,Women's V-Neck T-Shirt,TXT-003,18,2.95,53.17
2023-03-06,Electronics,Google Nest Mini (2nd Gen) Smart Speaker,ELC-003,11,22.7,249.69
2023-03-06,Electronics,"Samsung Galaxy Tab A8 10.5"" Tablet (32GB)",ELC-003,22,134.26,2953.72
2023-03-06,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-003,20,8.28,165.62
2023-03-06,Food,Coca-Cola Soda (12-pack Cans),FOD-003,49,5.17,253.28
2023-03-06,Food,Lay's Classic Potato Chips (Large Bag),FOD-001,25,3.32,83.03
2023-03-06,Pharmaceuticals,"Band-Aid Brand Adhesive Bandages (Assorted, 100 ct)",PRM-003,29,4.8,139.21
2023-03-06,Pharmaceuticals,"Bayer Aspirin (325 mg, 100 ct)",PRM-002,29,4.44,128.82
2023-03-06,Pharmaceuticals,Colgate Total Toothpaste (6 oz),PRM-003,31,3.04,94.29
2023-03-06,Pharmaceuticals,NyQuil Cold & Flu Liquid (12 oz),PRM-003,33,8.7,287.25
2023-03-13,Food,Fresh Strawberries (1 lb),FOD-002,50,3.24,162.21
2023-03-13,Food,Great Value Large Eggs (1 Dozen),FOD-003,43,2.66,114.27
2023-03-13,Food,Skippy Creamy Peanut Butter (40 oz),FOD-003,52,4.19,218.05
2023-03-13,Pharmaceuticals,Advil Tablets (100 ct),PRM-003,17,5.52,93.78
2023-03-13,Pharmaceuticals,"Bayer Aspirin (325 mg, 100 ct)",PRM-002,13,4.86,63.12
2023-03-13,Textiles,Queen Size Comforter,TXT-003,40,25.98,1039.27
2023-03-13,Textiles,Twin Size Sheet Set,TXT-002,30,9.49,284.64
2023-03-20,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-003,24,86.05,2065.15
2023-03-20,Electronics,"HP 15.6"" Laptop (Intel Core i3, 8GB RAM, 256GB SSD)",ELC-002,23,248.3,5710.81
2023-03-20,Electronics,JBL Flip 6 Portable Bluetooth Speaker,ELC-003,24,82.97,1991.2
2023-03-20,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-003,17,7.68,130.52
2023-03-20,Electronics,Sony WH-CH520 Wireless On-Ear Headphones,ELC-003,12,37.33,447.96
2023-03-20,Food,Bananas (by the pound),FOD-003,34,0.78,26.36
2023-03-20,Food,Coca-Cola Soda (12-pack Cans),FOD-003,47,5.13,241.18
2023-03-20,Food,Fresh Strawberries (1 lb),FOD-002,37,2.99,110.68
2023-03-20,Food,Great Value Large Eggs (1 Dozen),FOD-003,28,2.74,76.73
2023-03-20,Food,Tyson Boneless Skinless Chicken Breasts (2.5 lbs),FOD-003,36,8.66,311.62
2023-03-20,Pharmaceuticals,"Band-Aid Brand Adhesive Bandages (Assorted, 100 ct)",PRM-003,19,4.29,81.6
2023-03-20,Pharmaceuticals,Flonase Allergy Relief (120 sprays),PRM-003,20,14.82,296.39
2023-03-20,Pharmaceuticals,Neosporin Original Ointment (1 oz),PRM-003,29,5.5,159.4
2023-03-27,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-003,11,86.34,949.77
2023-03-27,Electronics,"HP 15.6"" Laptop (Intel Core i3, 8GB RAM, 256GB SSD)",ELC-001,20,259.97,5199.46
2023-03-27,Electronics,"Samsung Galaxy Tab A8 10.5"" Tablet (32GB)",ELC-003,11,132.75,1460.29
2023-03-27,Food,Kellogg's Frosted Flakes Cereal (23 oz),FOD-003,27,4.42,119.28
2023-03-27,Food,Lay's Classic Potato Chips (Large Bag),FOD-002,46,3.29,151.29
2023-03-27,Pharmaceuticals,"Band-Aid Brand Adhesive Bandages (Assorted, 100 ct)",PRM-003,36,4.08,146.81
2023-03-27,Pharmaceuticals,"Bayer Aspirin (325 mg, 100 ct)",PRM-001,23,4.54,104.31
2023-03-27,Pharmaceuticals,Colgate Total Toothpaste (6 oz),PRM-003,36,3.27,117.88
2023-03-27,Pharmaceuticals,Flonase Allergy Relief (120 sprays),PRM-003,12,15.75,188.96
2023-03-27,Pharmaceuticals,Tylenol Extra Strength Caplets (100 ct),PRM-001,18,5.87,105.72
2023-03-27,Textiles,Kids' Graphic Tee,TXT-003,28,2.64,73.88
2023-03-27,Textiles,Twin Size Sheet Set,TXT-002,23,9.1,209.31
2023-04-03,Food,Coca-Cola Soda (12-pack Cans),FOD-003,51,5.31,270.68
2023-04-03,Food,Great Value Large Eggs (1 Dozen),FOD-003,30,2.43,72.82
2023-04-03,Food,"Great Value Milk (1 Gallon, 2%)",FOD-001,26,3.32,86.29
2023-04-03,Food,Kellogg's Frosted Flakes Cereal (23 oz),FOD-003,34,4.06,138.13
2023-04-03,Food,Kraft Macaroni & Cheese (7.25 oz Box),FOD-003,41,1.13,46.23
2023-04-03,Pharmaceuticals,Advil Tablets (100 ct),PRM-003,35,5.22,182.79
2023-04-03,Pharmaceuticals,Allegra 24 Hour Allergy (60 ct),PRM-003,26,17.77,461.97
2023-04-03,Pharmaceuticals,"Bayer Aspirin (325 mg, 100 ct)",PRM-002,31,5.1,157.97
2023-04-03,Pharmaceuticals,Neosporin Original Ointment (1 oz),PRM-003,34,5.58,189.84
2023-04-03,Pharmaceuticals,NyQuil Cold & Flu Liquid (12 oz),PRM-003,22,8.56,188.38
2023-04-03,Textiles,Men's Athletic Shorts,TXT-003,35,7.89,275.99
2023-04-03,Textiles,Men's Basic Crewneck T-Shirt,TXT-002,20,3.5,70.08
2023-04-10,Food,Bananas (by the pound),FOD-003,44,0.81,35.43
2023-04-10,Food,Coca-Cola Soda (12-pack Cans),FOD-003,32,5,160
2023-04-10,Food,Lay's Classic Potato Chips (Large Bag),FOD-001,41,3.35,137.53
2023-04-10,Food,Tyson Boneless Skinless Chicken Breasts (2.5 lbs),FOD-003,29,8.16,236.75
2023-04-10,Pharmaceuticals,Allegra 24 Hour Allergy (60 ct),PRM-003,20,18.81,376.17
2023-04-10,Pharmaceuticals,Flonase Allergy Relief (120 sprays),PRM-003,18,14.15,254.68
2023-04-10,Pharmaceuticals,Neosporin Original Ointment (1 oz),PRM-003,22,5.54,121.96
2023-04-10,Pharmaceuticals,NyQuil Cold & Flu Liquid (12 oz),PRM-003,19,7.39,140.47
2023-04-10,Textiles,Bath Towel Set (2-pack),TXT-003,33,8.09,266.82
2023-04-10,Textiles,Men's Athletic Shorts,TXT-003,40,7.59,303.57
2023-04-10,Textiles,Queen Size Comforter,TXT-003,20,23.97,479.42
2023-04-17,Electronics,"Samsung Galaxy Tab A8 10.5"" Tablet (32GB)",ELC-003,10,120.88,1208.79
2023-04-17,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-003,24,8.21,196.97
2023-04-17,Food,Bananas (by the pound),FOD-003,38,0.72,27.34
2023-04-17,Food,Coca-Cola Soda (12-pack Cans),FOD-003,48,5.52,265.19
2023-04-17,Food,Lay's Classic Potato Chips (Large Bag),FOD-002,33,3.55,117.09
2023-04-17,Food,Tyson Boneless Skinless Chicken Breasts (2.5 lbs),FOD-003,43,8.66,372.53
2023-04-17,Textiles,Men's Athletic Shorts,TXT-003,33,7.9,260.86
2023-04-17,Textiles,Women's Skinny Jeans,TXT-003,19,13.78,261.86
2023-04-24,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-003,25,82.93,2073.34
2023-04-24,Electronics,"HP 15.6"" Laptop (Intel Core i3, 8GB RAM, 256GB SSD)",ELC-002,18,272.13,4898.41
2023-04-24,Electronics,Roku Express HD Streaming Media Player,ELC-002,20,18.49,369.76
2023-04-24,Food,Coca-Cola Soda (12-pack Cans),FOD-003,42,4.99,209.76
2023-04-24,Food,Great Value Large Eggs (1 Dozen),FOD-003,43,2.38,102.13
2023-04-24,Food,"Great Value Milk (1 Gallon, 2%)",FOD-001,48,3.62,173.79
2023-04-24,Food,Skippy Creamy Peanut Butter (40 oz),FOD-003,39,4.52,176.17
2023-04-24,Food,Tyson Boneless Skinless Chicken Breasts (2.5 lbs),FOD-003,31,9.29,287.84
2023-04-24,Pharmaceuticals,Advil Tablets (100 ct),PRM-003,32,4.83,154.72
2023-04-24,Pharmaceuticals,Colgate Total Toothpaste (6 oz),PRM-003,14,3.11,43.57
2023-04-24,Pharmaceuticals,Flonase Allergy Relief (120 sprays),PRM-003,37,15.87,587.33
2023-04-24,Pharmaceuticals,Neosporin Original Ointment (1 oz),PRM-003,34,5.74,195.13
2023-04-24,Pharmaceuticals,Tylenol Extra Strength Caplets (100 ct),PRM-001,25,5.08,126.91
2023-04-24,Textiles,Men's Athletic Shorts,TXT-003,23,8.08,185.91
2023-04-24,Textiles,Men's Regular Fit Jeans,TXT-002,39,13.74,536
2023-05-01,Food,Coca-Cola Soda (12-pack Cans),FOD-003,33,5.43,179.25
2023-05-01,Food,"Great Value Milk (1 Gallon, 2%)",FOD-001,30,3.34,100.11
2023-05-01,Food,Kellogg's Frosted Flakes Cereal (23 oz),FOD-003,44,4.2,184.83
2023-05-01,Food,Kraft Macaroni & Cheese (7.25 oz Box),FOD-003,46,1.16,53.57
2023-05-01,Food,Lay's Classic Potato Chips (Large Bag),FOD-002,27,3.17,85.6
2023-05-01,Pharmaceuticals,Advil Tablets (100 ct),PRM-003,39,5.22,203.39
2023-05-01,Pharmaceuticals,Neosporin Original Ointment (1 oz),PRM-003,20,5.79,115.76
2023-05-01,Textiles,Kids' Graphic Tee,TXT-003,29,2.75,79.71
2023-05-01,Textiles,Men's Basic Crewneck T-Shirt,TXT-002,27,3.61,97.57
2023-05-01,Textiles,Queen Size Comforter,TXT-003,28,24.56,687.63
2023-05-01,Textiles,Twin Size Sheet Set,TXT-002,39,9.21,359.16
2023-05-08,Electronics,Google Nest Mini (2nd Gen) Smart Speaker,ELC-003,12,24.12,289.38
2023-05-08,Electronics,JBL Flip 6 Portable Bluetooth Speaker,ELC-003,24,83.01,1992.25
2023-05-08,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-003,7,7.71,53.96
2023-05-08,Electronics,Sony WH-CH520 Wireless On-Ear Headphones,ELC-003,18,34.2,615.65
2023-05-08,Food,Great Value Large Eggs (1 Dozen),FOD-003,51,2.3,117.31
2023-05-08,Food,"Great Value Milk (1 Gallon, 2%)",FOD-002,27,3.52,94.99
2023-05-08,Food,Kraft Macaroni & Cheese (7.25 oz Box),FOD-003,24,1.31,31.33
2023-05-08,Pharmaceuticals,Advil Tablets (100 ct),PRM-003,37,5.21,192.7
2023-05-08,Pharmaceuticals,"Bayer Aspirin (325 mg, 100 ct)",PRM-002,39,4.46,174.04
2023-05-08,Pharmaceuticals,Flonase Allergy Relief (120 sprays),PRM-003,21,15.68,329.24
2023-05-08,Textiles,Bath Towel Set (2-pack),TXT-003,25,7.93,198.27
2023-05-08,Textiles,Men's Athletic Shorts,TXT-003,44,7.97,350.77
2023-05-08,Textiles,Men's Basic Crewneck T-Shirt,TXT-001,30,3.28,98.5
2023-05-08,Textiles,Men's Regular Fit Jeans,TXT-002,34,15.62,530.95
2023-05-08,Textiles,Women's V-Neck T-Shirt,TXT-003,33,3.48,114.74
2023-05-15,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-003,13,82.9,1077.69
2023-05-15,Electronics,Canon Pixma MG2522 All-in-One Printer,ELC-003,26,61.18,1590.57
2023-05-15,Food,Great Value Large Eggs (1 Dozen),FOD-003,25,2.41,60.3
2023-05-15,Food,Tyson Boneless Skinless Chicken Breasts (2.5 lbs),FOD-003,46,8.16,375.32
2023-05-15,Textiles,Queen Size Comforter,TXT-003,45,24.14,1086.43
2023-05-15,Textiles,Women's Skinny Jeans,TXT-003,28,14.87,416.3
2023-05-15,Textiles,Women's V-Neck T-Shirt,TXT-003,37,3.32,122.96
2023-05-22,Food,Bananas (by the pound),FOD-003,43,0.79,33.83
2023-05-22,Food,Coca-Cola Soda (12-pack Cans),FOD-003,32,4.96,158.69
2023-05-22,Food,Great Value Large Eggs (1 Dozen),FOD-003,42,2.4,100.71
2023-05-22,Food,Lay's Classic Potato Chips (Large Bag),FOD-002,48,3.71,178.04
2023-05-22,Food,Tyson Boneless Skinless Chicken Breasts (2.5 lbs),FOD-003,24,9.31,223.5
2023-05-22,Pharmaceuticals,"Bayer Aspirin (325 mg, 100 ct)",PRM-002,34,4.56,155.04
2023-05-22,Pharmaceuticals,Flonase Allergy Relief (120 sprays),PRM-003,14,14.83,207.55
2023-05-22,Pharmaceuticals,Neosporin Original Ointment (1 oz),PRM-003,21,6.21,130.48
2023-05-22,Pharmaceuticals,Tylenol Extra Strength Caplets (100 ct),PRM-002,30,5.28,158.37
2023-05-22,Textiles,Kids' Graphic Tee,TXT-003,37,2.9,107.39
2023-05-22,Textiles,Men's Fleece Hoodie,TXT-002,36,12.44,447.71
2023-05-22,Textiles,Twin Size Sheet Set,TXT-001,23,9.35,215.05
2023-05-22,Textiles,Women's V-Neck T-Shirt,TXT-003,36,2.97,106.98
2023-05-29,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-003,24,77.12,1850.88
2023-05-29,Electronics,Google Nest Mini (2nd Gen) Smart Speaker,ELC-003,17,22.76,386.93
2023-05-29,Electronics,JBL Flip 6 Portable Bluetooth Speaker,ELC-003,14,85.62,1198.7
2023-05-29,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-003,9,8.28,74.52
2023-05-29,Electronics,Sony WH-CH520 Wireless On-Ear Headphones,ELC-003,6,35.84,215.02
2023-05-29,Pharmaceuticals,Allegra 24 Hour Allergy (60 ct),PRM-003,28,18.01,504.18
2023-05-29,Pharmaceuticals,"Bayer Aspirin (325 mg, 100 ct)",PRM-002,37,4.43,163.93
2023-05-29,Pharmaceuticals,CVS Health Ibuprofen (200 mg - 100 ct),PRM-003,38,2.8,106.35
2023-05-29,Pharmaceuticals,Colgate Total Toothpaste (6 oz),PRM-003,37,2.88,106.45
2023-05-29,Pharmaceuticals,Flonase Allergy Relief (120 sprays),PRM-003,16,15.76,252.2
2023-05-29,Textiles,Men's Athletic Shorts,TXT-003,27,8.46,228.47
2023-05-29,Textiles,Men's Fleece Hoodie,TXT-001,20,12.98,259.66
2023-05-29,Textiles,Men's Regular Fit Jeans,TXT-001,38,13.79,524.08
2023-05-29,Textiles,Women's Skinny Jeans,TXT-003,36,14.11,507.89
2023-06-05,Food,"Great Value Milk (1 Gallon, 2%)",FOD-001,51,3.73,190.07
2023-06-05,Food,Kellogg's Frosted Flakes Cereal (23 oz),FOD-003,45,4.01,180.24
2023-06-05,Food,Lay's Classic Potato Chips (Large Bag),FOD-001,25,3.7,92.52
2023-06-05,Food,Tyson Boneless Skinless Chicken Breasts (2.5 lbs),FOD-003,28,8.99,251.66
2023-06-05,Pharmaceuticals,"Band-Aid Brand Adhesive Bandages (Assorted, 100 ct)",PRM-003,39,4.38,170.68
2023-06-05,Pharmaceuticals,"Bayer Aspirin (325 mg, 100 ct)",PRM-002,13,4.98,64.77
2023-06-05,Pharmaceuticals,Flonase Allergy Relief (120 sprays),PRM-003,26,14.83,385.69
2023-06-05,Pharmaceuticals,Neosporin Original Ointment (1 oz),PRM-003,25,6.19,154.65
2023-06-05,Pharmaceuticals,NyQuil Cold & Flu Liquid (12 oz),PRM-003,31,7.85,243.44
2023-06-05,Textiles,Queen Size Comforter,TXT-003,27,27.48,741.95
2023-06-05,Textiles,Women's Skinny Jeans,TXT-003,21,13.73,288.35
2023-06-05,Textiles,Women's V-Neck T-Shirt,TXT-003,21,2.97,62.36
2023-06-12,Electronics,"HP 15.6"" Laptop (Intel Core i3, 8GB RAM, 256GB SSD)",ELC-002,13,254.44,3307.75
2023-06-12,Electronics,Roku Express HD Streaming Media Player,ELC-001,11,19.05,209.57
2023-06-12,Food,Bananas (by the pound),FOD-003,47,0.79,37.25
2023-06-12,Food,Coca-Cola Soda (12-pack Cans),FOD-003,38,5.66,214.99
2023-06-12,Food,Fresh Strawberries (1 lb),FOD-002,40,3.06,122.25
2023-06-12,Food,Kellogg's Frosted Flakes Cereal (23 oz),FOD-003,25,4.67,116.84
2023-06-12,Food,Tyson Boneless Skinless Chicken Breasts (2.5 lbs),FOD-003,40,8.03,321.07
2023-06-12,Textiles,Bath Towel Set (2-pack),TXT-003,22,8.06,177.42
2023-06-12,Textiles,Men's Athletic Shorts,TXT-003,42,7.44,312.32
2023-06-12,Textiles,Men's Regular Fit Jeans,TXT-001,26,16.08,417.96
2023-06-19,Electronics,Energizer Max AA Batteries (8-pack),ELC-001,19,5.45,103.49
2023-06-19,Electronics,JBL Flip 6 Portable Bluetooth Speaker,ELC-003,26,87.57,2276.71
