"Item Name",Company,Quantity,"Cargo Size (cm x cm)","Weight (g)",SKU,"Location (WH-Aisle-Bin)","Lead Time (Days)","Reorder Point (Units)","Unit Cost ($)",Suppliers,"Lot/Batch Number","Expiry Date","Storage Conditions"
"Pantene Pro-V Daily Moisture Renewal Shampoo (20 oz)",Pantene,400,"25 x 10",600,PAN-SHMP-20OZ,"WH002-P04-B04",8,80,5.00,"FOD-002,FOD-001",PAN250663YZA,"2027-09-01",Cool & Dry
"Old Spice Swagger Deodorant (3 oz)","Old Spice",300,"15 x 5",100,OS-SWAG-DEO-3OZ,"WH002-P05-B05",7,60,4.00,"FOD-003,FOD-002",OSS250664BCD,"2027-10-01",Cool & Dry
"Gillette Mach3 Razor Refills (8 ct)",Gillette,150,"15 x 10",100,GIL-MACH3-8RE,"WH002-P06-B06",9,30,18.00,"FOD-001,FOD-003",GIL250665EFG,"2028-01-01",Cool & Dry
"Oral-B CrossAction Toothbrush (2-pack)","Oral-B",500,"20 x 10",100,ORB-XACT-2PK,"WH002-P07-B07",6,100,5.00,"FOD-002,FOD-001",ORB250666HIJ,"2028-01-01",Cool & Dry
"Great Value White Bread","Great Value",400,"30 x 15",600,GV-WHBRD-001,"FR001-B02-C01",1,80,1.20,"FOD-003,FOD-002",GVW250667KLM,"2025-07-01",Cool & Dry
"Pepperidge Farm Goldfish Crackers (30 oz)","Pepperidge Farm",350,"30 x 20",850,PPR-GOLDF-30OZ,"WH001-S05-P05",7,70,6.00,"FOD-001,FOD-003",PPG250668NOP,"2026-03-01",Cool & Dry
"Nabisco Ritz Crackers (13.7 oz)",Nabisco,400,"25 x 15",388,NAB-RITZ-13.7OZ,"WH001-S06-P06",6,80,3.00,"FOD-002,FOD-001",NAB250669QRS,"2026-02-01",Cool & Dry
"Great Value Purified Water (24-pack Bottles)","Great Value",1000,"40 x 30",12000,GV-WATER-24PK,"WH001-B11-D06",5,200,3.50,"FOD-003,FOD-002",GVW250670TUV,"2026-12-01",Cool & Dry
"Minute Maid Orange Juice (59 oz)","Minute Maid",250,"15 x 10",1800,MM-OJ-59OZ,"DF001-D09-C09",4,50,3.00,"FOD-001,FOD-003",MMO250671VWX,"2025-08-01",Refrigerated
"Simply Lemonade (52 oz)",Simply,200,"15 x 10",1500,SIM-LEM-52OZ,"DF001-D10-C10",4,40,3.50,"FOD-002,FOD-001",SIL250672YZA,"2025-08-05",Refrigerated
"Yoplait Original Yogurt (8 ct, Assorted)",Yoplait,280,"20 x 15",1200,YOP-YOG-8CT,"DF001-D11-C11",3,56,4.00,"FOD-003,FOD-002",YOP250673BCD,"2025-07-08",Refrigerated
"International Delight Coffee Creamer (32 oz)","International Delight",220,"10 x 10",950,ID-CRM-32OZ,"DF001-D12-C12",4,44,3.00,"FOD-001,FOD-003",IDC250674EFG,"2025-07-20",Refrigerated
"Pillsbury Refrigerated Cookie Dough (Chocolate Chip, 16 oz)",Pillsbury,180,"15 x 10",454,PIL-COOK-DGH-16,"DF001-D13-C13",3,36,3.00,"FOD-002,FOD-001",PIC250675HIJ,"2025-07-06",Refrigerated
"Hot Dogs (12 ct)","Ball Park",200,"25 x 10",500,BP-HDOG-12CT,"FR001-M02-A02",4,40,4.00,"FOD-003,FOD-002",BPH250676KLM,"2025-07-10",Refrigerated
"Ground Beef (80/20, 1 lb)",Generic,150,"20 x 15",454,GEN-GBEEF-1LB,"FR001-M03-A03",3,30,5.00,"FOD-001,FOD-003",GMB250677NOP,"2025-07-02",Refrigerated
"Frozen French Fries (32 oz Bag)","Great Value",250,"25 x 20",907,GV-FRIES-32OZ,"FZ001-P09-Z10",5,50,2.50,"FOD-002,FOD-001",GVF250678QRS,"2026-03-01",Frozen
"Frozen Pizza Bagels (20 ct)","Bagel Bites",100,"20 x 15",500,BAGEL-BITES-20CT,"FZ001-P10-Z11",6,20,4.00,"FOD-003,FOD-002",BGB250679TUV,"2026-04-01",Frozen
"Frozen Chicken Nuggets (25 oz Bag)",Tyson,120,"30 x 20",708,TYS-CHKNUG-25OZ,"FZ001-M11-Z12",6,24,6.00,"FOD-001,FOD-003",TYN250680VWX,"2026-05-01",Frozen
"Tropicana Pure Premium Orange Juice (52 oz)",Tropicana,220,"15 x 10",1500,TROP-OJ-52OZ,"DF001-D14-C14",4,44,3.80,"FOD-002,FOD-001",TRO250681YZA,"2025-08-01",Refrigerated
"Starbucks Frappuccino Coffee Drink (4-pack)",Starbucks,180,"20 x 15",1600,SBUX-FRP-4PK,"DF001-D15-C15",5,36,6.00,"FOD-003,FOD-002",SBF250682BCD,"2025-11-01",Refrigerated
"Pringles Original Potato Crisps (Large Can)",Pringles,300,"20 x 8",158,PRI-ORIG-CRISP,"WH001-S07-P07",6,60,2.50,"FOD-001,FOD-003",PRI250683EFG,"2026-04-01",Cool & Dry
"Cheetos Crunchy Cheese Flavored Snacks (Large Bag)",Cheetos,280,"30 x 20",255,CHEETOS-CRUNCHY,"WH001-S08-P08",6,56,3.00,"FOD-002,FOD-001",CHT250684HIJ,"2025-10-01",Cool & Dry
"Doritos Nacho Cheese Flavored Tortilla Chips (Large Bag)",Doritos,320,"30 x 20",283,DOR-NACHO-LG,"WH001-S09-P09",6,64,3.20,"FOD-003,FOD-002",DOR250685KLM,"2025-11-01",Cool & Dry
"Wonder Classic White Bread",Wonder,350,"30 x 15",600,WND-WHBRD-001,"FR001-B03-C02",1,70,1.50,"FOD-001,FOD-003",WND250686NOP,"2025-07-02",Cool & Dry
"Sara Lee Classic White Bread","Sara Lee",300,"30 x 15",600,SL-WHBRD-001,"FR001-B04-C03",1,60,2.00,"FOD-002,FOD-001",SAR250687QRS,"2025-07-03",Cool & Dry
"Pepperidge Farm Farmhouse Hearty White Bread","Pepperidge Farm",250,"30 x 15",680,PPF-HWBRD-001,"FR001-B05-C04",2,50,2.50,"FOD-003,FOD-002",PPF250688TUV,"2025-07-04",Cool & Dry
"Quaker Chewy Granola Bars (Variety Pack, 18 ct)",Quaker,280,"20 x 15",450,QKR-GRNB-18CT,"WH001-S10-P10",7,56,4.00,"FOD-001,FOD-003",QCG250689VWX,"2026-01-01",Cool & Dry
"Fiber One Oats & Chocolate Chewy Bars (15 ct)","Fiber One",200,"20 x 15",350,FIB-OCHOC-15CT,"WH001-S11-P11",8,40,4.50,"FOD-002,FOD-001",FIO250690YZA,"2026-02-01",Cool & Dry
"Nature Valley Crunchy Granola Bars (Oats 'n Honey, 12 ct)","Nature Valley",250,"20 x 15",400,NV-CRNCH-12CT,"WH001-S12-P12",7,50,4.00,"FOD-003,FOD-002",NVC250691BCD,"2026-03-01",Cool & Dry
"Keebler Fudge Stripes Cookies (11.5 oz)",Keebler,300,"20 x 15",326,KEEB-FUDG-11.5OZ,"WH001-S13-P13",6,60,3.00,"FOD-001,FOD-003",KEE250692EFG,"2026-05-01",Cool & Dry
"Entenmann's Little Bites Muffins (Chocolate Chip, 5 ct)","Entenmann's",200,"20 x 10",250,ENT-LB-CC-5CT,"WH001-S14-P14",5,40,3.50,"FOD-002,FOD-001",ENL250693HIJ,"2025-08-01",Cool & Dry
"Betty Crocker Super Moist Cake Mix (Yellow)","Betty Crocker",400,"20 x 15",432,BET-CAKE-YELLOW,"WH001-F12-S12",9,80,1.80,"FOD-003,FOD-002",BTC250694KLM,"2027-01-01",Cool & Dry
"Pillsbury Creamy Supreme Frosting (Vanilla)",Pillsbury,350,"10 x 10",453,PIL-FROST-VAN,"WH001-F13-S13",8,70,2.50,"FOD-001,FOD-003",PIL250695NOP,"2026-12-01",Cool & Dry
"Crisco Pure Vegetable Oil (48 oz)",Crisco,280,"25 x 15",1360,CRI-OIL-48OZ,"WH001-F14-S14",10,56,4.00,"FOD-002,FOD-001",CRO250696QRS,"2027-06-01",Cool & Dry
"Diamond Crystal Salt (26 oz)","Diamond Crystal",600,"10 x 8",737,DIM-SALT-26OZ,"WH001-F15-S15",7,120,1.00,"FOD-003,FOD-002",DIM250697TUV,"2028-01-01",Cool & Dry
"McCormick Ground Black Pepper (4 oz)",McCormick,400,"10 x 8",113,MCC-PEP-4OZ,"WH001-F16-S16",8,80,3.00,"FOD-001,FOD-003",MCC250698VWX,"2027-09-01",Cool & Dry
"Kraft Shredded Parmesan Cheese (8 oz)","Kraft Heinz",200,"20 x 12",227,KF-PARM-8OZ,"DF001-D16-C16",4,40,4.00,"FOD-002,FOD-001",KFP250699YZA,"2025-08-01",Refrigerated
"Red Baron Classic Crust Pepperoni Pizza (Large)","Red Baron",90,"30 x 30",800,RDB-PIZ-PEP-LG,"FZ001-P12-Z13",6,18,5.50,"FOD-003,FOD-002",RBP250600BCD,"2026-01-01",Frozen
"Tombstone Original Pepperoni Pizza (Large)",Tombstone,85,"30 x 30",850,TOM-PIZ-PEP-LG,"FZ001-P13-Z14",6,17,5.00,"FOD-001,FOD-003",TMP250601EFG,"2026-02-01",Frozen
"ORE-IDA Golden Crinkles Fries (32 oz)","ORE-IDA",280,"25 x 20",907,ORI-FRIES-32OZ,"FZ001-P14-Z15",5,56,2.80,"FOD-002,FOD-001",ORF250602HIJ,"2026-03-01",Frozen
"Pillsbury Toaster Strudel (Strawberry, 6 ct)",Pillsbury,220,"20 x 15",340,PIL-TST-STRB-6CT,"FZ001-B15-Z16",5,44,2.50,"FOD-003,FOD-002",PTS250603KLM,"2025-10-01",Frozen
"Eggo Homestyle Waffles (10 ct)",Eggo,200,"20 x 15",296,EGG-WAFFLE-10CT,"FZ001-B16-Z17",5,40,2.50,"FOD-001,FOD-003",EGG250604NOP,"2025-11-01",Frozen
"Jimmy Dean Sausage, Egg & Cheese Croissant (4 ct)","Jimmy Dean",100,"25 x 15",450,JD-SEC-CRO-4CT,"FZ001-B17-Z18",6,20,6.00,"FOD-002,FOD-001",JDC250605QRS,"2025-12-01",Frozen
"Hot Pockets Croissant Crust Ham & Cheese (5 ct)","Hot Pockets",90,"25 x 15",500,HP-HC-CRO-5CT,"FZ001-P18-Z19",6,18,5.50,"FOD-003,FOD-002",HPH250606TUV,"2026-01-01",Frozen
"Lean Cuisine Macaroni & Cheese (9.5 oz)","Lean Cuisine",120,"20 x 15",269,LNC-MACN-9.5OZ,"FZ001-P19-Z20",7,24,3.00,"FOD-001,FOD-003",LNM250607VWX,"2026-02-01",Frozen
"Red Baron Singles Deep Dish Pepperoni Pizza (2 ct)","Red Baron",150,"20 x 15",400,RDB-DD-PEP-2CT,"FZ001-P20-Z21",6,30,4.00,"FOD-002,FOD-001",RBS250608YZA,"2026-03-01",Frozen
"Totino's Party Pizza Pepperoni (10.2 oz)","Totino's",180,"25 x 20",289,TOT-PP-PEP-10.2OZ,"FZ001-P21-Z22",6,36,2.00,"FOD-003,FOD-002",TPP250609BCD,"2026-04-01",Frozen
"Jack's Original Pepperoni Pizza (14.5 oz)","Jack's",100,"30 x 25",411,JCK-ORIG-PEP-14.5OZ,"FZ001-P22-Z23",7,20,3.50,"FOD-001,FOD-003",JOP250610EFG,"2026-05-01",Frozen
"TGI Fridays Mozzarella Sticks (11 oz)","TGI Fridays",80,"20 x 15",312,TGI-MOZ-STK-11OZ,"FZ001-A23-Z24",7,16,6.00,"FOD-002,FOD-001",TFM250611HIJ,"2026-06-01",Frozen
"Ore-Ida Extra Crispy Tater Tots (32 oz)","ORE-IDA",200,"25 x 20",907,ORI-TOTT-32OZ,"FZ001-P24-Z25",5,40,3.00,"FOD-003,FOD-002",ORT250612KLM,"2026-04-01",Frozen
"Birds Eye Steamfresh Green Beans (10.8 oz)","Birds Eye",280,"20 x 15",306,BIRD-GB-10.8OZ,"FZ001-V25-Z26",5,56,1.80,"FOD-001,FOD-003",BIG250613NOP,"2026-03-01",Frozen
"Smart Ones Smart Made Turkey with Stuffing (9.5 oz)","Smart Ones",100,"20 x 15",269,SMRT-TURKEY-STF,"FZ001-P26-Z27",7,20,3.50,"FOD-002,FOD-001",SMS250614QRS,"2026-02-01",Frozen
"Weight Watchers Smart Ones Frozen Entree (Assorted)","Smart Ones",150,"20 x 15",280,SMRT-WW-ENTREE,"FZ001-P27-Z28",7,30,2.80,"FOD-003,FOD-002",SMW250615TUV,"2026-01-01",Frozen
"Edy's Slow Churned Vanilla Ice Cream (48 oz)","Edy's",130,"20 x 15",1360,EDY-VAN-IC-48OZ,"FZ001-D28-Z29",4,26,4.00,"FOD-001,FOD-003",EDV250616VWX,"2025-12-01",Frozen
"Halo Top Light Ice Cream (Pint)","Halo Top",100,"12 x 10",280,HALO-TOP-PINT,"FZ001-D29-Z30",5,20,4.50,"FOD-002,FOD-001",HLT250617YZA,"2025-11-01",Frozen
"Popsicle Firecracker Ice Pops (18 ct)",Popsicle,200,"25 x 15",600,POP-FIRECRACKER,"FZ001-D30-Z31",5,40,3.00,"FOD-003,FOD-002",PFP250618BCD,"2025-10-01",Frozen
"Cool Whip Whipped Topping (8 oz)","Cool Whip",250,"15 x 10",227,COOL-WHIP-8OZ,"FZ001-D31-Z32",4,50,2.00,"FOD-001,FOD-003",CWH250619EFG,"2025-09-01",Frozen
"Pillsbury Pie Crusts (2 ct)",Pillsbury,150,"25 x 15",390,PIL-PIECRUST-2CT,"DF001-D32-C16",3,30,3.50,"FOD-002,FOD-001",PIP250620HIJ,"2025-07-05",Refrigerated
"Simply Potatoes Shredded Hash Browns (20 oz)","Simply Potatoes",200,"20 x 15",567,SIM-HASHB-20OZ,"DF001-D33-C17",3,40,2.50,"FOD-003,FOD-002",SIH250621KLM,"2025-07-07",Refrigerated
"Johnsonville Bratwurst (5 ct)",Johnsonville,150,"25 x 10",480,JOH-BRAT-5CT,"FR001-M04-A04",4,30,5.00,"FOD-001,FOD-003",JOH250622NOP,"2025-07-12",Refrigerated
"Eckrich Smoked Sausage (14 oz)",Eckrich,180,"20 x 10",400,ECK-SAUS-14OZ,"FR001-M05-A05",4,36,3.50,"FOD-002,FOD-001",ECK250623QRS,"2025-07-15",Refrigerated
"Hormel Pepperoni (6 oz)",Hormel,250,"15 x 10",170,HOR-PEP-6OZ,"FR001-M06-A06",5,50,3.00,"FOD-003,FOD-002",HOR250624TUV,"2025-08-01",Refrigerated