Item Name,Company,Quantity,Cargo Size (cm x cm),Weight (g),SKU,Location (WH-Aisle-Bin),Lead Time (Days),Reorder Point (Units),Unit Cost ($),Suppliers,Lot/Batch Number,Expiry Date,Storage Conditions
"Tylenol Extra Strength Caplets (100 ct)",Johnson & Johnson,800,15 x 10,120,TYL-ES-CAP-100,PH001-A01-B01,7,160,5.5,"PRM-001,PRM-002",TYL250601ABC,2027-10-15,Room Temp
"Advil Tablets (100 ct)",Pfizer,750,15 x 10,110,ADV-TAB-100,PH001-A01-B02,7,150,5.2,"PRM-002,PRM-003",ADV250602DEF,2027-11-20,Room Temp
"Allegra 24 Hour Allergy (60 ct)",Sanofi,300,12 x 8,80,ALL-24H-TAB-60,PH001-A02-B03,10,60,18.0,"PRM-001,PRM-003",ALG250603GHI,2027-09-01,Room Temp
"Zyrtec 24 Hour Allergy (70 ct)",Johnson & Johnson,320,12 x 8,85,ZYR-24H-TAB-70,PH001-A02-B04,10,65,19.5,"PRM-001,PRM-002",ZYR250604JKL,2027-10-05,Room Temp
"CVS Health Ibuprofen (200 mg - 100 ct)",CVS Health (Equate Equivalent),900,15 x 10,115,CVSH-IBU-100,PH001-A01-B03,6,180,3.0,"PRM-002,PRM-003",CVI250605MNO,2027-12-01,Room Temp
"Flonase Allergy Relief (120 sprays)",GSK,250,18 x 12,150,FLN-AR-SPRY-120,PH001-A02-B05,12,50,15.0,"PRM-001,PRM-003",FLN250606PQR,2027-08-10,Room Temp
"Robitussin DM Max (8 oz)",GSK,400,18 x 10,300,ROB-DM-MAX-8OZ,PH001-A03-B06,8,80,6.5,"PRM-001,PRM-002",RDM250607STU,2027-07-25,Room Temp
"NyQuil Cold & Flu Liquid (12 oz)",Procter & Gamble,350,20 x 10,400,NYQ-CF-LIQ-12OZ,PH001-A03-B07,8,70,8.0,"PRM-002,PRM-003",NQC250608VWX,2027-09-15,Room Temp
"Vicks VapoRub (3.53 oz)",Procter & Gamble,600,10 x 8,150,VICKS-VR-3.53OZ,PH001-A04-B08,6,120,4.0,"PRM-001,PRM-003",VVR250609YZA,2028-01-01,Room Temp
"Bayer Aspirin (325 mg, 100 ct)",Bayer,700,15 x 10,125,BAY-ASP-100,PH001-A01-B04,7,140,4.8,"PRM-001,PRM-002",BAY250610BCD,2027-11-10,Room Temp
"One A Day Men's Health Formula (200 ct)",Bayer,280,15 x 10,250,OAD-MEN-200,PH001-A05-B09,9,55,12.0,"PRM-002,PRM-003",OAD250611EFG,2027-12-20,Room Temp
"Nature Made Vitamin D3 (1000 IU - 200 softgels)",Nature Made,500,12 x 8,100,NM-VITD3-200,PH001-A05-B10,8,100,8.5,"PRM-001,PRM-003",NMD250612HIJ,2028-02-15,Room Temp
"Centrum Adults Multivitamin (200 ct)",Pfizer,290,15 x 10,260,CEN-ADL-200,PH001-A05-B11,9,58,11.5,"PRM-001,PRM-002",CNA250613KLM,2027-11-01,Room Temp
"Meta-mucil Fiber Supplement (Powder, 48.2 oz)",Procter & Gamble,150,25 x 15,1500,MET-FIB-POW-48OZ,PH001-A06-B12,10,30,15.0,"PRM-002,PRM-003",MTF250614NOP,2027-09-20,Room Temp
"Prilosec OTC (42 ct)",Procter & Gamble,200,12 x 8,90,PRI-OTC-42,PH001-A07-B13,11,40,22.0,"PRM-001,PRM-003",PRO250615QRS,2027-10-25,Room Temp
"Pepto-Bismol Liquid (12 oz)",Procter & Gamble,450,20 x 10,400,PEP-BIS-LIQ-12OZ,PH001-A04-B14,8,90,5.8,"PRM-001,PRM-002",PBL250616TUV,2027-08-01,Room Temp
"Neosporin Original Ointment (1 oz)",Johnson & Johnson,500,10 x 5,50,NEO-ORN-1OZ,PH001-A08-B15,7,100,6.0,"PRM-002,PRM-003",NEO250617WXY,2027-11-05,Room Temp
"Band-Aid Brand Adhesive Bandages (Assorted, 100 ct)",Johnson & Johnson,1000,15 x 10,80,BND-AID-ASS-100,PH001-A08-B16,6,200,4.5,"PRM-001,PRM-003",BAN250618ZAB,2028-03-01,Room Temp
"Equate All Day Allergy (100 ct)",Equate,850,15 x 10,120,EQT-ALL-DAY-100,PH001-A02-B06,6,170,4.0,"PRM-001,PRM-002",EAD250619CDE,2027-11-25,Room Temp
"Culturelle Digestive Daily Probiotic (30 ct)",Culturelle,180,10 x 6,60,CUL-DP-30,PH001-A06-B17,12,35,16.0,"PRM-002,PRM-003",CUD250620FGH,2027-09-10,Protect from Light
"Colgate Total Toothpaste (6 oz)",Colgate-Palmolive,1200,20 x 5,200,COL-TOT-TP-6OZ,PH001-A09-B18,5,240,3.0,"PRM-001,PRM-003",COT250621IJK,2028-04-01,Room Temp
"Listerine Cool Mint Antiseptic Mouthwash (1.5 L)",Johnson & Johnson,600,30 x 10,1500,LIS-CM-MW-1.5L,PH001-A09-B19,6,120,7.0,"PRM-001,PRM-002",LCM250622LMN,2028-05-01,Room Temp
"Crest 3D White Toothpaste (4.1 oz)",Procter & Gamble,900,18 x 5,180,CRE-3DW-TP-4.1OZ,PH001-A09-B20,5,180,3.5,"PRM-002,PRM-003",C3D250623OPQ,2028-04-15,Room Temp
"Preparation H Hemorrhoid Cream (1 oz)",Pfizer,350,10 x 5,60,PREP-H-CREAM-1OZ,PH001-A10-B21,8,70,6.5,"PRM-001,PRM-003",PHC250624RST,2027-10-10,Room Temp
"MiraLAX Laxative Powder (26.9 oz)",Bayer,180,18 x 12,800,MIRA-LAX-26.9OZ,PH001-A06-B22,10,35,14.0,"PRM-001,PRM-002",MRL250625UVW,2027-09-05,Room Temp
"Dulcolax Laxative Tablets (100 ct)",Sanofi,250,10 x 6,50,DUL-LAX-TAB-100,PH001-A06-B23,9,50,8.0,"PRM-002,PRM-003",DLL250626XYZ,2027-11-15,Room Temp
"Gas-X Extra Strength Softgels (50 ct)",GSK,300,10 x 6,40,GAS-X-ES-50,PH001-A04-B24,7,60,7.0,"PRM-001,PRM-003",GXS250627ABC,2027-12-05,Room Temp
"Tums Ultra Strength Antacid (160 ct)",GSK,500,15 x 10,300,TUM-US-160,PH001-A04-B25,6,100,5.0,"PRM-001,PRM-002",TUM250628DEF,2028-01-20,Room Temp
"Pepto Bismol Chewables (48 ct)",Procter & Gamble,380,12 x 8,100,PEP-BIS-CHEW-48,PH001-A04-B26,8,75,4.5,"PRM-002,PRM-003",PBLC250629GHI,2027-09-01,Room Temp
"DayQuil Cold & Flu Liquid (12 oz)",Procter & Gamble,350,20 x 10,400,DAY-CF-LIQ-12OZ,PH001-A03-B09,8,70,8.0,"PRM-001,PRM-003",DQC250630JKL,2027-10-01,Room Temp
"Theraflu Multi-Symptom Severe Cold Powder (6 packets)",GSK,400,15 x 10,120,THE-MSC-POW-6PK,PH001-A03-B10,9,80,6.0,"PRM-001,PRM-002",THM250631MNO,2027-11-10,Room Temp
"Emergen-C Vitamin C Fizzy Drink Mix (30 ct)",Alka-Seltzer,280,12 x 8,100,EMER-C-VITC-30,PH001-A05-B15,8,55,9.0,"PRM-002,PRM-003",EMC250632PQR,2027-10-15,Room Temp
"Airborne Effervescent Tablets (30 ct)",Reckitt Benckiser,270,12 x 8,90,AIR-EFT-30,PH001-A05-B16,9,54,9.5,"PRM-001,PRM-003",AIR250633STU,2027-12-01,Room Temp
"Benadryl Allergy Caplets (100 ct)",Johnson & Johnson,400,15 x 10,100,BEN-ALL-CAP-100,PH001-A02-B07,7,80,6.0,"PRM-001,PRM-002",BEN250634VWX,2027-10-20,Room Temp
"Claritin 24 Hour Allergy (70 ct)",Bayer,310,12 x 8,88,CLA-24H-TAB-70,PH001-A02-B08,10,62,19.0,"PRM-002,PRM-003",CLA250635YZA,2027-09-25,Room Temp
"Mucinex DM Tablets (40 ct)",Reckitt Benckiser,220,12 x 8,100,MUC-DM-40,PH001-A03-B11,9,44,14.0,"PRM-001,PRM-003",MUC250636BCD,2027-08-30,Room Temp
"Sudafed PE Pressure + Pain (24 ct)",Johnson & Johnson,280,10 x 6,50,SUD-PP-24,PH001-A03-B12,8,56,8.5,"PRM-001,PRM-002",SUD250637EFG,2027-07-15,Room Temp
"Motrin IB (200 mg, 100 ct)",Johnson & Johnson,650,15 x 10,115,MOT-IB-100,PH001-A01-B05,7,130,5.0,"PRM-002,PRM-003",MOT250638HIJ,2027-12-10,Room Temp
"Aleve Caplets (220 mg, 100 ct)",Bayer,600,15 x 10,120,ALEVE-CAP-100,PH001-A01-B06,7,120,6.0,"PRM-001,PRM-003",ALV250639KLM,2027-11-01,Room Temp
"Excedrin Migraine Caplets (100 ct)",GSK,400,15 x 10,110,EXC-MIG-100,PH001-A01-B07,8,80,7.0,"PRM-001,PRM-002",EXC250640NOP,2027-10-01,Room Temp
"Preparation H Wipes (48 ct)",Pfizer,300,15 x 10,150,PREP-H-WIPES-48,PH001-A10-B27,8,60,5.5,"PRM-002,PRM-003",PHW250641QRS,2027-09-01,Room Temp
"Calmoseptine Ointment (4 oz)",Calmoseptine,100,10 x 6,150,CALM-OINT-4OZ,PH001-A08-B28,10,20,8.0,"PRM-001,PRM-003",CMO250642TUV,2027-08-05,Room Temp
"Cortizone 10 Maximum Strength (1 oz)",Sanofi,450,10 x 5,55,CORT-10-MS-1OZ,PH001-A08-B29,7,90,5.0,"PRM-001,PRM-002",COR250643WXY,2027-11-20,Room Temp
"Polysporin Antibiotic Ointment (1 oz)",Johnson & Johnson,380,10 x 5,50,POL-AB-OINT-1OZ,PH001-A08-B30,7,75,5.5,"PRM-002,PRM-003",POL250644ZAB,2027-12-01,Room Temp
"Gold Bond Ultimate Healing Lotion (14 oz)",Sanofi,500,20 x 8,500,GBU-HL-14OZ,PH001-A11-B31,8,100,7.0,"PRM-001,PRM-003",GBU250645CDE,2028-03-01,Room Temp
"Aveeno Daily Moisturizing Lotion (18 oz)",Johnson & Johnson,450,20 x 10,600,AVE-DM-18OZ,PH001-A11-B32,8,90,8.0,"PRM-001,PRM-002",AVD250646FGH,2028-04-01,Room Temp
"Eucerin Advanced Repair Lotion (16.9 oz)",Beiersdorf,300,20 x 10,550,EUC-AR-16.9OZ,PH001-A11-B33,9,60,9.0,"PRM-002,PRM-003",EUC250647HIJ,2028-03-15,Room Temp
"Dove Beauty Bar (Sensitive Skin, 6-pack)",Unilever,700,20 x 15,1000,DOV-BB-SS-6PK,PH001-A12-B34,6,140,7.0,"PRM-001,PRM-003",DOV250648KLM,2028-05-01,Room Temp
"Old Spice High Endurance Deodorant (3 oz)",Procter & Gamble,800,15 x 5,100,OLD-SPD-3OZ,PH001-A12-B35,5,160,3.5,"PRM-001,PRM-002",OLD250649NOP,2028-06-01,Room Temp
"Secret Clinical Strength Deodorant (1.6 oz)",Procter & Gamble,400,12 x 5,60,SEC-CSD-1.6OZ,PH001-A12-B36,7,80,9.0,"PRM-002,PRM-003",SEC250650QRS,2028-05-15,Room Temp
"Sensodyne Pronamel Toothpaste (4 oz)",GSK,500,18 x 5,170,SEN-PRO-TP-4OZ,PH001-A09-B37,7,100,6.0,"PRM-001,PRM-003",SEN250651TUV,2028-04-01,Room Temp
"Crest Pro-Health Mouthwash (1 L)",Procter & Gamble,450,25 x 10,1000,CRE-PH-MW-1L,PH001-A09-B38,6,90,6.0,"PRM-001,PRM-002",CRH250652WXY,2028-03-20,Room Temp
"Floss Picks (90 ct)",Generic (Equate Equivalent),1000,15 x 8,50,FLOSS-PIK-90,PH001-A09-B39,5,200,2.0,"PRM-002,PRM-003",FLP250653ZAB,2029-01-01,Room Temp
"Toothbrushes (Soft, 4-pack)",Generic (Equate Equivalent),800,25 x 10,150,TBRUSH-4PK,PH001-A09-B40,5,160,3.0,"PRM-001,PRM-003",TBR250654CDE,2029-01-01,Room Temp
"Insulin Lispro (Vial, 10 mL)",Eli Lilly,50,8 x 4,50,INS-LISPRO-10ML,PH002-R01-F01,14,10,35.0,"PRM-001,PRM-002",ILP250655FGH,2026-12-31,Refrigerated
"Novolog FlexPen (5 x 3 mL)",Novo Nordisk,40,15 x 5,100,NOV-FLEXPEN-5,PH002-R01-F02,14,8,250.0,"PRM-002,PRM-003",NFP250656IJK,2026-11-30,Refrigerated
"Ozempic (0.25/0.5 mg pen)",Novo Nordisk,30,18 x 5,120,OZE-0.25-0.5-PEN,PH002-R01-F03,21,6,450.0,"PRM-001,PRM-003",OZE250657LMN,2026-10-25,Refrigerated
"EpiPen Auto-Injector (2-pack)",Mylan,20,15 x 6,150,EPIPEN-2PK,PH002-R02-F04,18,5,280.0,"PRM-001,PRM-002",EPI250658NOP,2026-09-30,Room Temp
"Fluzone Quadrivalent Vaccine (Single Dose)",Sanofi Pasteur,10,10 x 5,30,FLU-Q-VAC-SD,PH002-R02-F05,21,2,70.0,"PRM-002,PRM-003",FLZ250659QRS,2026-03-31,Refrigerated
"Tamiflu (75 mg, 10 capsules)",Roche,50,10 x 5,20,TAM-FLU-75MG-10C,PH002-R03-F06,12,10,35.0,"PRM-001,PRM-003",TAM250660TUV,2027-01-15,Room Temp
"Z-Pak (Zithromax, 6 tablets)",Pfizer,60,10 x 5,25,ZPAK-6TAB,PH002-R03-F07,10,12,20.0,"PRM-001,PRM-002",ZPK250661VWX,2027-02-10,Room Temp
"Amoxicillin (500 mg, 30 capsules)",Generic,150,10 x 5,40,AMOX-500MG-30C,PH002-R03-F08,8,30,8.0,"PRM-002,PRM-003",AMX250662YZA,2027-03-01,Room Temp
"Lisinopril (10 mg, 90 tablets)",Generic,120,10 x 5,35,LISI-10MG-90T,PH002-R04-F09,8,24,6.0,"PRM-001,PRM-003",LIS250663BCD,2027-04-01,Room Temp
"Gabapentin (300 mg, 90 capsules)",Generic,90,10 x 5,30,GABA-300MG-90C,PH002-R04-F10,9,18,9.0,"PRM-001,PRM-002",GAB250664EFG,2027-05-01,Room Temp
"Hydrochlorothiazide (25 mg, 90 tablets)",Generic,130,10 x 5,30,HCTZ-25MG-90T,PH002-R04-F11,8,26,5.5,"PRM-002,PRM-003",HCT250665HIJ,2027-06-01,Room Temp
"Metformin (500 mg, 90 tablets)",Generic,180,10 x 5,45,MET-500MG-90T,PH002-R05-F12,7,36,7.0,"PRM-001,PRM-003",MET250666KLM,2027-07-01,Room Temp
"Atorvastatin (20 mg, 90 tablets)",Generic,100,10 x 5,30,ATOR-20MG-90T,PH002-R05-F13,9,20,12.0,"PRM-001,PRM-002",ATO250667NOP,2027-08-01,Room Temp
"Sertraline (50 mg, 90 tablets)",Generic,70,10 x 5,25,SERT-50MG-90T,PH002-R05-F14,10,14,10.0,"PRM-002,PRM-003",SRT250668QRS,2027-09-01,Room Temp
"Omeprazole (20 mg, 30 capsules)",Generic,200,10 x 5,35,OMEP-20MG-30C,PH002-R06-F15,7,40,4.0,"PRM-001,PRM-003",OME250669TUV,2027-10-01,Protect from Light
"Tramadol (50 mg, 60 tablets)",Generic,80,10 x 5,25,TRAM-50MG-60T,PH002-R06-F16,11,16,8.0,"PRM-001,PRM-002",TRM250670VWX,2027-11-01,Room Temp
"Levothyroxine (50 mcg, 90 tablets)",Generic,140,10 x 5,30,LEVO-50MCG-90T,PH002-R06-F17,9,28,5.0,"PRM-002,PRM-003",LEV250671YZA,2027-12-01,Protect from Light
"Folic Acid (1 mg, 90 tablets)",Generic,250,10 x 5,20,FOLI-1MG-90T,PH002-R07-F18,6,50,3.0,"PRM-001,PRM-003",FOL250672BCD,2028-01-01,Room Temp
"Vitamin C (500 mg, 100 tablets)",Equate,600,10 x 6,80,EQT-VITC-100,PH001-A05-B41,6,120,3.5,"PRM-001,PRM-002",EQV250673EFG,2028-02-01,Room Temp
"Magnesium Citrate (Liquid, 10 oz)",Generic,180,18 x 8,300,MAG-CIT-LIQ-10OZ,PH001-A06-B42,8,36,4.0,"PRM-002,PRM-003",MGC250674HIJ,2027-09-01,Room Temp
"Sleep Aid Diphenhydramine (100 ct)",Equate,700,15 x 10,100,EQT-SA-100,PH001-A07-B43,6,140,4.0,"PRM-001,PRM-003",EQS250675KLM,2027-10-10,Room Temp
"Hydrocortisone Cream (1%, 1 oz)",Equate,550,10 x 5,50,EQT-HC-1PCT-1OZ,PH001-A08-B44,7,110,3.5,"PRM-001,PRM-002",EQH250676NOP,2027-11-01,Room Temp
"Triple Antibiotic Ointment (1 oz)",Equate,480,10 x 5,50,EQT-TAB-1OZ,PH001-A08-B45,7,96,3.8,"PRM-002,PRM-003",EQT250677QRS,2027-12-01,Room Temp
"Diabetic Test Strips (50 ct)",Generic (ReliOn),200,12 x 8,70,REL-DTS-50,PH002-R07-F19,10,40,15.0,"PRM-001,PRM-003",RDT250678TUV,2026-11-30,Room Temp
"Blood Glucose Meter",Generic (ReliOn),80,15 x 10,200,REL-BGM-001,PH002-R07-F20,12,16,25.0,"PRM-001,PRM-002",RBG250679VWX,2029-01-01,Standard
"Cough Drops (Menthol, 30 ct)",Ricola,900,10 x 5,80,RIC-CD-MEN-30,PH001-A03-B46,5,180,2.5,"PRM-002,PRM-003",RIC250680YZA,2028-01-01,Room Temp
"Zinc Lozenges (18 ct)",Cold-EEZE,300,10 x 5,40,COLD-ZE-ZINC-18,PH001-A05-B47,7,60,5.0,"PRM-001,PRM-003",CZE250681BCD,2027-12-01,Room Temp
"Kids' Tylenol (Liquid, 4 oz)",Johnson & Johnson,350,15 x 8,150,KID-TYL-4OZ,PH001-A01-B48,8,70,4.5,"PRM-001,PRM-002",KTY250682EFG,2027-10-01,Room Temp
"Children's Motrin (Liquid, 4 oz)",Johnson & Johnson,300,15 x 8,150,CHI-MOT-4OZ,PH001-A01-B49,8,60,4.8,"PRM-002,PRM-003",CMO250683HIJ,2027-11-01,Room Temp
"Pedialyte Electrolyte Solution (33.8 oz)",Abbott,250,20 x 10,1000,PED-ELE-33.8OZ,PH001-A06-B50,9,50,6.0,"PRM-001,PRM-003",PEL250684KLM,2027-09-01,Room Temp
"Orajel Dental Pain Relief Gel (0.25 oz)",Orajel,400,8 x 5,20,ORA-DPRG-0.25OZ,PH001-A10-B51,7,80,4.0,"PRM-001,PRM-002",ORD250685NOP,2027-12-01,Room Temp
"Dermoplast Pain & Itch Spray (2.75 oz)",Meda Pharma,150,15 x 5,80,DERM-PI-SPRY-2.75,PH001-A08-B52,10,30,7.0,"PRM-002,PRM-003",DPI250686QRS,2027-10-15,Room Temp
"First Aid Kit (Small)",Generic (Equate Equivalent),200,20 x 15,300,EQT-FAK-SMALL,PH001-A08-B53,8,40,9.0,"PRM-001,PRM-003",EFA250687TUV,2028-01-01,Standard
"Cotton Balls (100 ct)",Generic (Equate Equivalent),1500,20 x 10,50,EQT-COT-BAL-100,PH001-A13-B54,5,300,1.5,"PRM-001,PRM-002",EQC250688VWX,2029-01-01,Room Temp
"Rubbing Alcohol (16 oz)",Generic (Equate Equivalent),800,20 x 10,500,EQT-RBA-16OZ,PH001-A13-B55,6,160,2.0,"PRM-002,PRM-003",EQR250689YZA,2028-12-01,Room Temp
"Hydrogen Peroxide (16 oz)",Generic (Equate Equivalent),750,20 x 10,500,EQT-HP-16OZ,PH001-A13-B56,6,150,1.8,"PRM-001,PRM-003",EQH250690BCD,2028-11-01,Protect from Light
"Epsom Salt (4 lb bag)",Generic (Equate Equivalent),400,25 x 20,1800,EQT-EPSOM-4LB,PH001-A14-B57,7,80,4.0,"PRM-001,PRM-002",EQE250691EFG,2029-01-01,Room Temp
"Gauze Pads (Sterile, 10 ct)",Generic (Equate Equivalent),500,10 x 8,30,EQT-GAUZE-10,PH001-A08-B58,6,100,2.5,"PRM-002,PRM-003",EQG250692HIJ,2028-06-01,Room Temp
"Medical Tape (Paper, 1 inch)",Generic (Equate Equivalent),600,8 x 5,20,EQT-MTAPE-1IN,PH001-A08-B59,6,120,1.5,"PRM-001,PRM-003",EQM250693KLM,2029-01-01,Room Temp
"Antiseptic Wipes (20 ct)",Generic (Equate Equivalent),700,12 x 8,60,EQT-ASWIPES-20,PH001-A08-B60,6,140,2.8,"PRM-001,PRM-002",EQA250694NOP,2028-07-01,Room Temp
"Rubbing Alcohol Wipes (50 ct)",Generic (Equate Equivalent),650,12 x 8,50,EQT-RAW-50,PH001-A13-B61,6,130,3.0,"PRM-002,PRM-003",EQR250695QRS,2028-08-01,Room Temp
"Heating Pad (Electric)",Generic (Equate Equivalent),100,30 x 20,500,EQT-HPAD-ELEC,PH001-A14-B62,9,20,12.0,"PRM-001,PRM-003",EQH250696TUV,2029-01-01,Standard
"Cold Pack (Instant)",Generic (Equate Equivalent),300,20 x 10,200,EQT-CPACK-INST,PH001-A08-B63,7,60,2.0,"PRM-001,PRM-002",EQC250697VWX,2027-12-01,Room Temp
"Hot/Cold Reusable Gel Pack",Generic (Equate Equivalent),250,20 x 15,300,EQT-GELP-R,PH001-A08-B64,8,50,4.0,"PRM-002,PRM-003",EQG250698YZA,2029-01-01,Standard
"Digital Thermometer",Generic (Equate Equivalent),180,15 x 5,50,EQT-THERM-DIG,PH001-A10-B65,8,36,7.0,"PRM-001,PRM-003",EQT250699ABC,2029-01-01,Standard
"Blood Pressure Monitor (Arm Cuff)",Omron,80,25 x 20,800,OMR-BPM-ARM-001,PH002-R07-F21,12,16,35.0,"PRM-001,PRM-002",OMR250600DEF,2029-01-01,Standard
"Pulse Oximeter",Generic (Equate Equivalent),120,10 x 5,50,EQT-POX-001,PH002-R07-F22,10,24,18.0,"PRM-002,PRM-003",EQP250601GHI,2029-01-01,Standard
"Contact Lens Solution (12 oz)",Bausch + Lomb,400,20 x 10,400,BL-CLS-12OZ,PH001-A10-B66,7,80,7.0,"PRM-001,PRM-003",BLC250602JKL,2027-11-01,Room Temp
"Eye Drops (Redness Relief, 0.5 oz)",Visine,500,8 x 4,20,VIS-ED-RR-0.5OZ,PH001-A10-B67,6,100,4.0,"PRM-001,PRM-002",VIS250603MNO,2027-10-01,Protect from Light
"Nasal Spray (Saline, 1.5 oz)",Simply Saline,300,15 x 5,80,SIMP-NS-SAL-1.5OZ,PH001-A03-B68,7,60,5.0,"PRM-002,PRM-003",SIM250604PQR,2027-09-01,Room Temp
"Sinus Rinse Kit",NeilMed,180,20 x 10,200,NEIL-SR-KIT-001,PH001-A03-B69,9,36,9.0,"PRM-001,PRM-003",NEI250605STU,2028-01-01,Room Temp
"Dramamine Motion Sickness Relief (12 ct)",Dramamine,250,10 x 5,30,DRA-MSR-12,PH001-A04-B70,8,50,6.0,"PRM-001,PRM-002",DRA250606VWX,2027-11-01,Room Temp
"Cortizone 10 Anti-Itch Cream (2 oz)",Sanofi,350,10 x 6,80,CORT-10-AIC-2OZ,PH001-A08-B71,7,70,7.0,"PRM-002,PRM-003",CORT250607YZA,2027-12-01,Room Temp
"Fungi-Nail Anti-Fungal Solution (1 oz)",Kerasal,150,8 x 4,40,FUNGI-NAIL-1OZ,PH001-A10-B72,10,30,12.0,"PRM-001,PRM-003",FUN250608BCD,2027-10-01,Room Temp
"Dr. Scholl's Moleskin Plus (3 ct)",Dr. Scholl's,400,15 x 10,50,DRSC-MOL-3CT,PH001-A08-B73,7,80,4.0,"PRM-001,PRM-002",DSM250609EFG,2028-01-01,Room Temp
"Liquid Bandage (0.3 oz)",New-Skin,280,8 x 4,15,NEW-SKIN-LB-0.3OZ,PH001-A08-B74,8,56,6.0,"PRM-002,PRM-003",NWS250610HIJ,2027-11-01,Room Temp
"Saline Wound Wash (7.1 oz)",Generic (Equate Equivalent),300,20 x 8,250,EQT-SWW-7.1OZ,PH001-A08-B75,6,60,3.0,"PRM-001,PRM-003",EQS250611KLM,2028-06-01,Room Temp
"Peroxide Mouth Rinse (16 oz)",Generic (Equate Equivalent),250,20 x 10,500,EQT-PMR-16OZ,PH001-A09-B76,7,50,3.5,"PRM-001,PRM-002",EQP250612NOP,2028-05-01,Protect from Light
"Antacid Chewables (150 ct)",Equate,600,15 x 10,250,EQT-ANT-CHEW-150,PH001-A04-B77,6,120,4.0,"PRM-002,PRM-003",EQA250613QRS,2027-11-15,Room Temp
"Fiber Gummy Supplements (90 ct)",Equate,300,12 x 8,200,EQT-FIB-GUM-90,PH001-A06-B78,8,60,7.0,"PRM-001,PRM-003",EQF250614TUV,2027-10-01,Room Temp
"Joint Support Gummy Vitamins (60 ct)",Nature's Bounty,200,12 x 8,150,NB-JS-GUM-60,PH001-A05-B79,9,40,11.0,"PRM-001,PRM-002",NBJ250615VWX,2027-12-01,Room Temp
"Biotin 10,000 mcg (100 softgels)",Nature's Bounty,280,10 x 6,80,NB-BIO-10K-100,PH001-A05-B80,8,56,9.0,"PRM-002,PRM-003",NBB250616YZA,2028-01-01,Room Temp
"Fish Oil 1000 mg (120 softgels)",Nature Made,400,15 x 8,150,NMFSH-OIL-120,PH001-A05-B81,8,80,10.0,"PRM-001,PRM-003",NMF250617BCD,2027-11-10,Protect from Light
"Melatonin (5 mg, 120 tablets)",Natrol,350,10 x 6,50,NAT-MEL-5MG-120,PH001-A07-B82,7,70,6.0,"PRM-001,PRM-002",NAM250618EFG,2027-10-01,Room Temp
"Magnesium (250 mg, 100 tablets)",Nature Made,300,10 x 6,80,NM-MAG-250-100,PH001-A05-B83,8,60,5.5,"PRM-002,PRM-003",NMM250619HIJ,2028-01-01,Room Temp
"Zinc (50 mg, 100 tablets)",Nature Made,280,10 x 6,70,NM-ZINC-50-100,PH001-A05-B84,8,56,4.5,"PRM-001,PRM-003",NMZ250620KLM,2028-02-01,Room Temp
"Glucosamine Chondroitin (120 caplets)",Nature Made,180,20 x 10,300,NM-GC-120,PH001-A06-B85,10,36,18.0,"PRM-001,PRM-002",NMG250621NOP,2027-12-01,Room Temp
"Probiotic Gummies (60 ct)",OLLY,150,15 x 10,250,OLLY-PRO-GUM-60,PH001-A06-B86,11,30,14.0,"PRM-002,PRM-003",OLP250622QRS,2027-09-15,Room Temp
"Vitamin B12 (1000 mcg, 100 tablets)",Nature Made,320,10 x 6,60,NMB12-1000-100,PH001-A05-B87,8,64,6.0,"PRM-001,PRM-003",NMB250623TUV,2028-03-01,Room Temp
"Calcium 600 + D3 (120 tablets)",Caltrate,250,15 x 10,200,CAL-600D3-120,PH001-A05-B88,9,50,8.0,"PRM-001,PRM-002",CAL250624VWX,2027-11-01,Room Temp
"Digestive Enzymes (60 capsules)",Nature's Way,100,10 x 6,50,NW-DIG-ENZ-60,PH001-A06-B89,12,20,10.0,"PRM-002,PRM-003",NWD250625YZA,2027-10-01,Room Temp
"Apple Cider Vinegar Gummies (60 ct)",Goli,200,12 x 8,150,GOLI-ACV-GUM-60,PH001-A06-B90,10,40,11.0,"PRM-001,PRM-003",GOL250626BCD,2027-11-01,Room Temp
"Turmeric Curcumin (500 mg, 60 capsules)",Nature Made,150,10 x 6,60,NMTUR-CUR-60,PH001-A05-B91,9,30,10.0,"PRM-001,PRM-002",NMT250627EFG,2027-12-01,Room Temp
"Bum Cream (Diaper Rash, 4 oz)",Desitin,400,10 x 8,150,DES-DC-4OZ,PH001-A14-B92,7,80,5.0,"PRM-002,PRM-003",DES250628HIJ,2027-11-01,Room Temp
"Baby Nasal Aspirator",FridaBaby,250,15 x 10,50,FRI-NA-ASP-001,PH001-A14-B93,9,50,8.0,"PRM-001,PRM-003",FNA250629KLM,2029-01-01,Standard
"Children's Advil (Liquid, 4 oz)",Pfizer,300,15 x 8,150,CHI-ADV-4OZ,PH001-A01-B94,8,60,4.7,"PRM-001,PRM-002",CAD250630NOP,2027-10-20,Room Temp
"Similac Advance Infant Formula (Powder, 20 oz)",Abbott,120,20 x 15,700,SIM-ADV-POW-20OZ,PH001-A14-B95,14,24,22.0,"PRM-002,PRM-003",SIM250631QRS,2027-09-01,Room Temp
"Enfamil NeuroPro Infant Formula (Powder, 20 oz)",Reckitt Benckiser,110,20 x 15,700,ENF-NPRO-POW-20OZ,PH001-A14-B96,14,22,23.0,"PRM-001,PRM-003",ENF250632TUV,2027-08-01,Room Temp