"Item Name",Company/Brand,Quantity,Cargo Size (cm x cm),Weight (g),SKU,Location (WH-Aisle-Bin),Lead Time (Days),Reorder Point (Units),Unit Cost ($),Lot/Batch Number,Season,Material,Size,Suppliers
"Men's Basic Crewneck T-Shirt",George,1500,25 x 20,180,GEO-M-TSH-CRN-L,AP001-M01-A01,7,300,3.50,GT001BATCHA,All-Season,Cotton,L,"TXT-001,TXT-002"
"Women's V-Neck T-Shirt",Faded Glory,1800,25 x 20,160,FAD-W-TSH-VNK-M,AP001-W01-A02,7,360,3.20,FV002BATCHB,All-Season,Cotton Blend,M,"TXT-002,TXT-003"
"Kids' Graphic Tee",Wonder Nation,2000,20 x 18,120,WN-K-TEE-GRF-S,AP001-K01-A03,6,400,2.80,WG003BATCHC,All-Season,Cotton,S,"TXT-001,TXT-003"
"Men's Regular Fit Jeans",Athletic Works,800,35 x 25,750,ATH-M-JEANS-32x32,AP002-M02-B01,10,160,15.00,AD004BATCHD,All-Season,Denim,32x32,"TXT-001,TXT-002"
"Women's Skinny Jeans",Faded Glory,1000,35 x 25,680,FAD-W-JEANS-8,AP002-W02-B02,10,200,14.50,FJ005BATCHE,All-Season,Stretch Denim,8,"TXT-002,TXT-003"
"Toddler Boys' Pull-On Pants",Wonder Nation,1200,28 x 20,300,WN-TB-PNTS-2T,AP002-K02-B03,8,240,7.00,WP006BATCHF,All-Season,Cotton Blend,2T,"TXT-001,TXT-003"
"Men's Fleece Hoodie",George,600,40 x 30,500,GEO-M-HOOD-L,AP003-M03-C01,9,120,12.00,GH007BATCHG,Fall/Winter,Fleece,L,"TXT-001,TXT-002"
"Women's Long Sleeve Thermal Top",Faded Glory,700,30 x 22,250,FAD-W-THERM-S,AP003-W03-C02,9,140,8.00,FT008BATCHH,Fall/Winter,Waffle Knit,S,"TXT-002,TXT-003"
"Kids' Winter Jacket",Wonder Nation,400,50 x 40,800,WN-K-JACK-8,AP003-K03-C03,12,80,25.00,WJ009BATCHI,Winter,Polyester,8,"TXT-001,TXT-003"
"Men's Cargo Shorts",Athletic Works,700,30 x 25,400,ATH-M-SHORT-34,AP004-M04-D01,8,140,10.00,AS010BATCHJ,Spring/Summer,Cotton Twill,34,"TXT-001,TXT-002"
"Women's Denim Shorts",Faded Glory,900,28 x 22,350,FAD-W-SHORT-10,AP004-W04-D02,8,180,9.50,FS011BATCHK,Spring/Summer,Denim,10,"TXT-002,TXT-003"
"Girls' Casual Dress",Wonder Nation,800,30 x 25,250,WN-G-DRESS-6X,AP004-K04-D03,7,160,11.00,WD012BATCHL,Spring/Summer,Cotton Blend,6X,"TXT-001,TXT-003"
"Men's Polo Shirt",George,1000,28 x 22,220,GEO-M-POLO-XL,AP005-M05-E01,7,200,8.00,GP013BATCHM,Spring/Summer,Pique Knit,XL,"TXT-001,TXT-002"
"Women's Knit Cardigan",Faded Glory,600,30 x 25,350,FAD-W-CARD-L,AP005-W05-E02,9,120,11.00,FC014BATCHN,Fall/Winter,Acrylic Blend,L,"TXT-002,TXT-003"
"Boys' Jeans",Wonder Nation,900,30 x 22,550,WN-B-JEANS-10,AP002-K05-B04,9,180,13.00,WNJ015BATCHO,All-Season,Denim,10,"TXT-001,TXT-003"
"Twin Size Sheet Set",Mainstays,500,30 x 20,1200,MS-SHEET-TWN,HT001-B01-S01,8,100,10.00,MST016BATCHP,All-Season,Microfiber,Twin,"TXT-001,TXT-002"
"Queen Size Comforter",Mainstays,300,50 x 40,2500,MS-COMF-Q,HT001-B02-S02,10,60,25.00,MSQ017BATCHQ,All-Season,Polyester,Queen,"TXT-002,TXT-003"
"Bath Towel Set (2-pack)",Mainstays,700,30 x 25,800,MS-TOWEL-2PK,HT001-B03-S03,7,140,8.00,MST018BATCHR,All-Season,Cotton,N/A,"TXT-001,TXT-003"
"Kitchen Towel (6-pack)",Mainstays,1000,20 x 15,300,MS-KTOWL-6PK,HT001-K01-T01,6,200,5.00,MSK019BATCHS,All-Season,Cotton,N/A,"TXT-001,TXT-002"
"Men's Athletic Shorts",Athletic Works,900,30 x 20,250,ATH-M-ATHS-L,AP004-M06-D04,7,180,8.00,AA020BATCHT,Spring/Summer,Polyester,L,"TXT-002,TXT-003"
"Women's Yoga Leggings",Athletic Works,1100,28 x 20,280,ATH-W-YOGA-M,AP004-W06-D05,7,220,10.00,AWY021BATCHU,All-Season,Spandex Blend,M,"TXT-001,TXT-003"
"Boys' Athletic T-Shirt",Athletic Works,1300,25 x 20,150,ATH-B-ATHT-S,AP001-K06-A04,6,260,6.00,ABT022BATCHV,All-Season,Polyester,S,"TXT-001,TXT-002"
"Men's Knit Sweater",George,400,35 x 30,450,GEO-M-SWEAT-XL,AP005-M07-E03,10,80,18.00,GS023BATCHW,Fall/Winter,Acrylic,XL,"TXT-002,TXT-003"
"Women's Fleece Joggers",Faded Glory,500,30 x 25,400,FAD-W-JOGG-M,AP003-W07-C04,9,100,13.00,FJ024BATCHX,Fall/Winter,Fleece,M,"TXT-001,TXT-003"
"Girls' Leggings (2-pack)",Wonder Nation,1500,20 x 15,200,WN-G-LEGG-4T,AP002-K07-B05,7,300,6.00,WNL025BATCHY,All-Season,Cotton Blend,4T,"TXT-001,TXT-002"
"King Size Sheet Set",Mainstays,400,35 x 25,1800,MS-SHEET-KING,HT001-B04-S04,9,80,15.00,MSK026BATCHZ,All-Season,Microfiber,King,"TXT-002,TXT-003"
"Pillowcases (Standard, 2-pack)",Mainstays,800,20 x 15,250,MS-PILC-2PK,HT001-B05-S05,6,160,4.00,MSP027BATCHA1,All-Season,Cotton,N/A,"TXT-001,TXT-003"
"Throw Blanket",Mainstays,600,40 x 30,700,MS-THRW-BLK,HT001-D01-S06,8,120,10.00,MSB028BATCHB1,Fall/Winter,Fleece,N/A,"TXT-001,TXT-002"
"Area Rug (5x7 ft)",Mainstays,100,80 x 60,3000,MS-RUG-5X7,HT002-F01-R01,14,20,30.00,MSR029BATCHC1,All-Season,Polypropylene,N/A,"TXT-002,TXT-003"
"Men's Swim Trunks",George,500,25 x 20,150,GEO-M-SWIM-L,AP004-M08-D06,8,100,9.00,GSW030BATCHD1,Summer,Polyester,L,"TXT-001,TXT-003"
"Women's Tank Top",Faded Glory,1200,20 x 18,100,FAD-W-TANK-S,AP001-W08-A05,6,240,4.00,FTN031BATCHE1,Spring/Summer,Cotton,S,"TXT-001,TXT-002"
"Boys' Board Shorts",Wonder Nation,700,25 x 20,180,WN-B-BOARD-8,AP004-K08-D07,7,140,8.00,WNB032BATCHF1,Summer,Polyester,8,"TXT-002,TXT-003"
"Baby Bodysuit (3-pack)",Gerber,900,25 x 20,180,GRB-BODYS-0-3M,AP001-BBY-A06,7,180,10.00,GBB033BATCHG1,All-Season,Cotton,0-3M,"TXT-001,TXT-003"
"Men's Dress Shirt",George,300,30 x 25,280,GEO-M-DRS-16-34,AP005-M09-E04,10,60,16.00,GDS034BATCHH1,All-Season,Cotton Blend,16/34,"TXT-001,TXT-002"
"Women's Blouse",Faded Glory,450,28 x 22,180,FAD-W-BLOUSE-L,AP005-W09-E05,9,90,12.00,FDB035BATCHI1,Spring/Summer,Rayon,L,"TXT-002,TXT-003"
"Girls' Skirt",Wonder Nation,500,25 x 20,150,WN-G-SKIRT-6,AP004-K09-D08,7,100,9.00,WNS036BATCHJ1,Spring/Summer,Cotton,6,"TXT-001,TXT-003"
"Duvet Cover Set (Queen)",Mainstays,200,45 x 35,2000,MS-DUVET-Q,HT001-B06-S06,12,40,28.00,MSD037BATCHK1,All-Season,Microfiber,Queen,"TXT-001,TXT-002"
"Hand Towel (4-pack)",Mainstays,800,25 x 20,400,MS-HNDT-4PK,HT001-B07-S07,6,160,6.00,MSH038BATCHL1,All-Season,Cotton,N/A,"TXT-002,TXT-003"
"Washcloth (12-pack)",Mainstays,1200,20 x 15,300,MS-WCLTH-12PK,HT001-B08-S08,6,240,5.00,MSW039BATCHM1,All-Season,Cotton,N/A,"TXT-001,TXT-003"
"Microfiber Cleaning Cloths (24-pack)",Mainstays,900,25 x 20,250,MS-MFC-24PK,HT001-K02-T02,7,180,7.00,MSC040BATCHN1,All-Season,Microfiber,N/A,"TXT-001,TXT-002"
"Men's Boxer Briefs (5-pack)",Hanes,1000,20 x 15,300,HAN-M-BOX-5PK-L,AP006-M10-F01,8,200,9.00,HBB041BATCHO1,All-Season,Cotton,L,"TXT-002,TXT-003"
"Women's Cotton Underwear (6-pack)",Fruit of the Loom,1100,20 x 15,250,FOTL-W-UND-6PK-M,AP006-W10-F02,8,220,8.00,FWU042BATCHP1,All-Season,Cotton,M,"TXT-001,TXT-003"
"Kids' Socks (10-pack)",Wonder Nation,1500,18 x 15,200,WN-K-SOCKS-S,AP006-K10-F03,7,300,7.00,WNS043BATCHQ1,All-Season,Cotton Blend,S,"TXT-001,TXT-002"
"Men's Performance Socks (6-pack)",Athletic Works,800,20 x 15,180,ATH-M-SOCK-6PK-L,AP006-M11-F04,7,160,8.00,ASP044BATCHR1,All-Season,Polyester Blend,L,"TXT-002,TXT-003"
"Women's No-Show Socks (6-pack)",Hanes,900,18 x 12,120,HAN-W-NOSHOW-S,AP006-W11-F05,7,180,7.00,HNS045BATCHS1,All-Season,Cotton Blend,S,"TXT-001,TXT-003"
"Baby Sleepers (2-pack)",Gerber,700,30 x 20,250,GRB-SLEEPR-6M,AP001-BBY-A07,8,140,15.00,GBS046BATCHT1,All-Season,Cotton,6M,"TXT-001,TXT-002"
"Men's Woven Pajama Pants",George,400,30 x 25,300,GEO-M-PJ-L,AP007-M12-G01,9,80,10.00,GPP047BATCHU1,All-Season,Cotton,L,"TXT-002,TXT-003"
"Women's Satin Pajama Set",Faded Glory,300,30 x 25,350,FAD-W-PJ-M,AP007-W12-G02,10,60,18.00,FPS048BATCHV1,All-Season,Polyester Satin,M,"TXT-001,TXT-003"
"Kids' Pajama Set (2-piece)",Wonder Nation,800,30 x 25,300,WN-K-PJ-4,AP007-K12-G03,8,160,12.00,WNP049BATCHW1,All-Season,Cotton,4,"TXT-001,TXT-002"
"Window Curtains (2-panel set)",Mainstays,300,40 x 30,1500,MS-CURT-84x52,HT002-W01-C01,10,60,18.00,MSC050BATCHX1,All-Season,Polyester,N/A,"TXT-002,TXT-003"
"Shower Curtain",Mainstays,500,30 x 25,400,MS-SHWR-CURT,HT002-B09-S09,8,100,9.00,MSS051BATCHY1,All-Season,Polyester,N/A,"TXT-001,TXT-003"
"Kitchen Rug (20x30 inch)",Mainstays,400,30 x 20,500,MS-KTRUG-20x30,HT002-F02-R02,9,80,7.00,MSKR052BATCHZ1,All-Season,Nylon,N/A,"TXT-001,TXT-002"
"Dinner Napkins (4-pack)",Mainstays,600,20 x 15,150,MS-DNAP-4PK,HT001-K03-T03,6,120,4.00,MSDN053BATCHA2,All-Season,Cotton Blend,N/A,"TXT-002,TXT-003"
"Tablecloth (Rectangular)",Mainstays,250,40 x 30,500,MS-TBC-RECT,HT001-K04-T04,9,50,12.00,MSTC054BATCHB2,All-Season,Polyester,N/A,"TXT-001,TXT-003"
"Men's V-Neck Undershirt (3-pack)",Hanes,900,25 x 20,280,HAN-M-VNK-3PK-M,AP006-M13-F06,8,180,8.00,HMV055BATCHC2,All-Season,Cotton,M,"TXT-001,TXT-002"
"Women's Cami (4-pack)",Fruit of the Loom,1000,20 x 15,200,FOTL-W-CAMI-4PK-L,AP006-W13-F07,8,200,9.00,FWC056BATCHD2,All-Season,Cotton Blend,L,"TXT-002,TXT-003"
"Girls' Undershirts (3-pack)",Wonder Nation,1100,20 x 15,150,WN-G-UND-3PK-6,AP006-K13-F08,7,220,6.00,WNU057BATCHE2,All-Season,Cotton,6,"TXT-001,TXT-003"
"Men's Slip-On Sneakers",George,200,30 x 20,600,GEO-M-SNKR-10,AP008-M14-H01,10,40,15.00,GSN058BATCHF2,All-Season,Canvas,10,"TXT-001,TXT-002"
"Women's Ballet Flats",Faded Glory,250,28 x 18,300,FAD-W-FLAT-7,AP008-W14-H02,10,50,12.00,FBF059BATCHG2,Spring/Summer,Synthetic,7,"TXT-002,TXT-003"
"Toddler Girls' Sandals",Wonder Nation,300,20 x 15,200,WN-TG-SAND-7,AP008-K14-H03,8,60,9.00,WTS060BATCHH2,Summer,Synthetic,7,"TXT-001,TXT-003"
"Queen Size Air Mattress",Bestway,80,60 x 40,4000,BEST-AIRMAT-Q,HT002-C01-S10,14,16,40.00,BWA061BATCHI2,All-Season,PVC,Queen,"TXT-001,TXT-002"
"Sleeping Bag (Adult)",Ozark Trail,100,40 x 30,1500,OZ-SLPBAG-ADL,HT002-C02-S11,12,20,25.00,OTS062BATCHJ2,Spring/Fall,Polyester,Adult,"TXT-002,TXT-003"
"Camping Tent (4-person)",Ozark Trail,50,70 x 50,5000,OZ-TENT-4P,HT002-C03-S12,14,10,60.00,OTT063BATCHK2,Spring/Summer,Polyester,N/A,"TXT-001,TXT-003"
"Beach Towel",Mainstays,600,40 x 30,500,MS-BCH-TOWL,HT001-B10-S13,7,120,6.00,MSBT064BATCHL2,Summer,Cotton,N/A,"TXT-001,TXT-002"
"Men's Rain Jacket",George,200,35 x 25,400,GEO-M-RAIN-L,AP003-M15-C05,10,40,20.00,GRJ065BATCHM2,Spring/Fall,Polyester,L,"TXT-002,TXT-003"
"Women's Lightweight Jacket",Faded Glory,300,30 x 25,300,FAD-W-LITE-M,AP003-W15-C06,9,60,18.00,FLJ066BATCHN2,Spring/Fall,Nylon,M,"TXT-001,TXT-003"
"Kids' Rain Boots",Wonder Nation,400,30 x 20,800,WN-K-BOOT-12,AP008-K15-H04,10,80,15.00,WNR067BATCHO2,Spring/Fall,Rubber,12,"TXT-001,TXT-002"
"Men's Work Boots",Brahma,150,40 x 30,1500,BRA-M-BOOT-10,AP008-M16-H05,14,30,35.00,BMB068BATCHP2,Fall/Winter,Leather,10,"TXT-002,TXT-003"
"Women's Winter Boots",Faded Glory,200,35 x 25,1200,FAD-W-WBOOT-8,AP008-W16-H06,12,40,28.00,FWW069BATCHQ2,Winter,Synthetic/Fleece,8,"TXT-001,TXT-003"
"Kids' Snow Pants",Wonder Nation,250,40 x 30,600,WN-K-SNOW-6,AP003-K16-C07,12,50,22.00,WNS070BATCHR2,Winter,Polyester,6,"TXT-001,TXT-002"
"Men's Thermal Underwear Top",Athletic Works,500,30 x 20,200,ATH-M-THERM-L,AP006-M17-F08,9,100,10.00,AMT071BATCHS2,Fall/Winter,Polyester,L,"TXT-002,TXT-003"
"Women's Thermal Underwear Bottom",Athletic Works,600,30 x 20,180,ATH-W-THERM-M,AP006-W17-F09,9,120,9.00,AWT072BATCHT2,Fall/Winter,Polyester,M,"TXT-001,TXT-003"
"Men's Dress Socks (3-pack)",George,700,15 x 10,100,GEO-M-DRSS-3PK,AP006-M18-F10,7,140,6.00,GDS073BATCHU2,All-Season,Cotton Blend,N/A,"TXT-001,TXT-002"
"Women's Tights (3-pack)",No Boundaries,800,15 x 10,150,NOB-W-TIGHTS-S,AP006-W18-F11,7,160,7.00,NBT074BATCHV2,Fall/Winter,Nylon/Spandex,S,"TXT-002,TXT-003"
"Kids' Winter Hat & Glove Set",Wonder Nation,500,20 x 15,150,WN-K-HATGLOVE,AP003-K17-C08,10,100,8.00,WNH075BATCHW2,Winter,Acrylic,N/A,"TXT-001,TXT-003"
"Microfiber Pillow (Standard)",Mainstays,400,60 x 40,800,MS-PILW-STD,HT001-B11-S14,8,80,7.00,MSP076BATCHX2,All-Season,Polyester,Standard,"TXT-001,TXT-002"
"Memory Foam Pillow",Mainstays,200,60 x 40,1200,MS-MEMF-PILW,HT001-B12-S15,10,40,15.00,MMP077BATCHY2,All-Season,Memory Foam,Standard,"TXT-002,TXT-003"
"Mattress Pad (Queen)",Mainstays,150,50 x 40,2000,MS-MATPAD-Q,HT001-B13-S16,12,30,22.00,MMP078BATCHZ2,All-Season,Polyester,Queen,"TXT-001,TXT-003"
"Shower Liner",Mainstays,600,30 x 25,200,MS-SHWR-LNR,HT002-B14-S17,7,120,5.00,MSL079BATCHA3,All-Season,PEVA,N/A,"TXT-001,TXT-002"
"Bath Mat",Mainstays,500,30 x 20,400,MS-BATH-MAT,HT002-B15-S18,8,100,6.00,MSB080BATCHB3,All-Season,Cotton,N/A,"TXT-002,TXT-003"
"Men's Boxer Shorts (3-pack)",Fruit of the Loom,800,20 x 15,250,FOTL-M-BOXS-3PK-XL,AP006-M19-F12,8,160,8.00,FMB081BATCHC3,All-Season,Cotton,XL,"TXT-001,TXT-003"
"Women's Sports Bras (2-pack)",Athletic Works,700,25 x 20,180,ATH-W-SBR-2PK-M,AP006-W19-F13,7,140,10.00,AWSB082BATCHD3,All-Season,Spandex Blend,M,"TXT-001,TXT-002"
"Girls' Tank Tops (5-pack)",Wonder Nation,1300,20 x 15,180,WN-G-TANK-5PK-8,AP001-K19-A07,6,260,8.00,WNT083BATCHE3,Spring/Summer,Cotton,8,"TXT-002,TXT-003"
"Boys' Cargo Shorts",Athletic Works,600,30 x 25,350,ATH-B-CARG-12,AP004-K19-D09,8,120,11.00,ABC084BATCHF3,Spring/Summer,Cotton Twill,12,"TXT-001,TXT-003"
"Men's Henley Shirt",George,500,30 x 25,250,GEO-M-HENLEY-L,AP001-M20-A08,8,100,9.00,GMH085BATCHG3,All-Season,Cotton,L,"TXT-001,TXT-002"
"Women's Tunic Top",Faded Glory,400,30 x 25,220,FAD-W-TUNIC-S,AP001-W20-A09,9,80,13.00,FWT086BATCHH3,Fall/Spring,Rayon,S,"TXT-002,TXT-003"
"Toddler Boys' Graphic Hoodie",Wonder Nation,700,35 x 25,300,WN-TB-GHOOD-3T,AP003-K20-C09,8,140,10.00,WTB087BATCHI3,Fall/Winter,Fleece,3T,"TXT-001,TXT-003"
"Kids' Character Pajamas",Wonder Nation,600,30 x 25,280,WN-K-CHPJ-5,AP007-K21-G04,8,120,14.00,WNC088BATCHJ3,All-Season,Polyester,5,"TXT-001,TXT-002"
"Decorative Pillow",Mainstays,350,40 x 40,600,MS-DECP-SQ,HT001-D02-S19,9,70,9.00,MSDP089BATCHK3,All-Season,Polyester,N/A,"TXT-002,TXT-003"
"Throw Pillow Cover (Set of 2)",Mainstays,450,30 x 25,300,MS-TPC-2PK,HT001-D03-S20,8,90,7.00,MSTP090BATCHL3,All-Season,Cotton Blend,N/A,"TXT-001,TXT-003"
"Storage Bins (Fabric, Large)",Mainstays,250,40 x 30,400,MS-STOR-BIN-LG,HT002-S01-B01,10,50,11.00,MSSB091BATCHM3,All-Season,Non-Woven,N/A,"TXT-001,TXT-002"
"Laundry Basket (Pop-Up)",Mainstays,300,50 x 30,500,MS-LAUND-POP,HT002-S02-B02,9,60,8.00,MSL092BATCHN3,All-Season,Polyester,N/A,"TXT-002,TXT-003"
"Hangers (Velvet, 50-pack)",Mainstays,400,45 x 20,1000,MS-HANG-VEL-50,HT002-S03-B03,8,80,18.00,MSH093BATCHO3,All-Season,Velvet/Plastic,N/A,"TXT-001,TXT-003"
"Shoe Rack (3-Tier)",Mainstays,150,70 x 30,1500,MS-SHR-3T,HT002-S04-B04,12,30,20.00,MSSR094BATCHP3,All-Season,Metal/Plastic,N/A,"TXT-001,TXT-002"
"Fabric Dresser Organizer",Mainstays,200,30 x 25,300,MS-DRS-ORG,HT002-S05-B05,10,40,9.00,MSDO095BATCHQ3,All-Season,Non-Woven,N/A,"TXT-002,TXT-003"
"Garment Bags (Clear, 3-pack)",Mainstays,300,40 x 20,200,MS-GARM-BAG-3,HT002-S06-B06,8,60,7.00,MSG096BATCHR3,All-Season,PEVA,N/A,"TXT-001,TXT-003"
"Zippered Storage Bags (Large, 2-pack)",Mainstays,350,50 x 35,250,MS-ZIP-BAG-2PK,HT002-S07-B07,8,70,6.00,MSZ097BATCHS3,All-Season,PEVA,N/A,"TXT-001,TXT-002"
"Underbed Storage Bin (Fabric)",Mainstays,250,70 x 40,500,MS-UNDB-BIN,HT002-S08-B08,10,50,12.00,MSU098BATCHT3,All-Season,Non-Woven,N/A,"TXT-002,TXT-003"
"Travel Pillow",Mainstays,400,30 x 25,300,MS-TRV-PILW,HT001-D04-S21,7,80,6.00,MSTP099BATCHU3,All-Season,Polyester,N/A,"TXT-001,TXT-003"
"Chair Pad (Cushion)",Mainstays,300,40 x 40,400,MS-CHR-PAD,HT002-F03-R03,9,60,8.00,MSCP100BATCHV3,All-Season,Polyester,N/A,"TXT-001,TXT-002"